,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,Clip Delta
87,front raise standing alternating with resting arm up,List A,728,12,14.17%,16.67%,58.33%,0,-0.25,97.42%,121,84.65%,-2.22%,5.00%,0
88,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.1333333333,97.55%,142,97.93%,-1.05%,0.00%,0
89,front raise standing single arm with resting arm down,MVP,730,11,7.30%,72.73%,90.91%,1,-1.090909091,97.74%,209,92.36%,-0.77%,-1.34%,0
90,front raise standing single arm with resting arm up,List A,727,12,17.92%,33.33%,58.33%,0,2,95.06%,173,85.60%,0.27%,-0.06%,0
91,front to back lunge arms by side,List A,1164,6,5.56%,83.33%,83.33%,1,-0.6666666667,94.17%,66,47.51%,-0.33%,-6.35%,0
92,front to back lunge weights hanging,List A,1169,16,14.91%,50.00%,62.50%,0,-1.375,89.84%,261,64.41%,-5.88%,8.23%,0
93,front to back lunge with rotation,List A,1163,11,17.83%,27.27%,63.64%,0,-1.454545455,91.75%,166,88.72%,-5.15%,-5.48%,0
94,hand release pushup on knees,List A,304,15,2.36%,80.00%,100.00%,1,0.2,95.24%,115,93.41%,-0.66%,-1.19%,1
95,hand release pushup on knees arms extended,List A,1503,6,14.75%,66.67%,83.33%,0,-1.333333333,96.38%,66,80.33%,-2.00%,0.00%,0
96,hand release pushup on toes,List A,594,12,1.67%,91.67%,100.00%,1,0.08333333333,94.76%,61,92.74%,-2.23%,-0.33%,2
97,hand release pushup on toes arms extended,List A,1502,5,20.00%,60.00%,60.00%,0,-2.2,97.42%,54,90.60%,-1.34%,3.33%,0
98,hip bridge repping hands bent at 90,List A,599,19,5.26%,94.74%,94.74%,1,-0.5789473684,100.00%,199,78.92%,0.00%,0.00%,0
99,lateral lunge alternating single dumbbell,MVP,749,15,3.41%,66.67%,100.00%,1,-0.06666666667,94.31%,150,91.75%,-1.71%,-3.87%,0
100,lateral lunge arms by side,MVP,740,20,3.63%,85.00%,90.00%,1,-0.3,90.98%,196,90.21%,3.39%,1.63%,0
101,lateral lunge arms by side dumbbell,MVP,750,11,9.14%,54.55%,81.82%,1,-0.7272727273,89.89%,104,93.72%,-1.26%,4.39%,0
102,lateral lunge arms straight out,MVP,737,7,1.43%,85.71%,100.00%,1,0.1428571429,88.18%,70,70.23%,-1.15%,-2.86%,0
103,lateral lunge hands on head,MVP,738,6,1.67%,83.33%,100.00%,1,-0.1666666667,94.68%,59,70.96%,-0.46%,1.67%,0
104,lateral lunge hands on hips,MVP,739,11,12.60%,63.64%,81.82%,0,-0.09090909091,90.28%,101,84.77%,0.39%,3.51%,0
105,lateral lunge left,MVP,319,8,4.03%,62.50%,100.00%,1,-0.375,92.26%,62,78.78%,3.04%,-1.79%,0
106,lateral lunge swing to arms overhead,MVP,746,8,4.89%,50.00%,100.00%,1,0.25,92.32%,82,96.21%,-0.70%,1.25%,0
107,lateral lunge weights racked,MVP,751,18,3.95%,72.22%,88.89%,1,-0.2777777778,98.83%,179,62.29%,-0.15%,1.16%,0
108,lateral lunge with runners arms,MVP,744,8,1.25%,87.50%,100.00%,1,-0.125,96.15%,89,78.15%,4.46%,1.25%,0
109,lateral raise kneeling alternating with resting arm down,MVP,770,3,1.75%,66.67%,100.00%,1,0.3333333333,78.87%,37,91.11%,-16.77%,-4.17%,0
110,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0,92.73%,54,93.13%,-5.41%,0.00%,0
111,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.2857142857,96.26%,66,96.16%,-2.51%,0.00%,0
112,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,0.93%,91.67%,100.00%,1,0.08333333333,99.39%,121,93.52%,-0.09%,-0.12%,0
113,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,3.89%,69.23%,84.62%,1,0.3846153846,96.74%,205,82.48%,-2.88%,3.50%,0
114,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0,97.81%,138,97.09%,-2.10%,0.00%,0
115,lateral raise kneeling single arm with resting arm down,MVP,773,6,8.71%,66.67%,66.67%,1,-1.333333333,86.45%,89,91.92%,-12.26%,8.71%,0
116,lateral raise standing alternating with resting arm down,MVP,780,8,0.00%,100.00%,100.00%,1,0,94.46%,78,92.70%,-2.24%,0.00%,0
117,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0,98.38%,161,96.82%,-0.16%,0.00%,0
118,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.1428571429,99.08%,75,96.98%,0.07%,0.00%,0
119,lateral raise standing single arm with resting arm down,MVP,779,6,3.33%,50.00%,100.00%,1,0.1666666667,97.52%,96,87.28%,-0.97%,0.83%,0
120,neutral grip chest press hook lying both arms,MVP,1212,19,13.31%,68.42%,78.95%,0,-0.3684210526,93.34%,202,75.32%,-6.48%,6.93%,0
121,neutral grip chest press table top alternating with resting arm up,List A,1228,11,12.98%,36.36%,72.73%,0,-0.09090909091,99.41%,114,77.69%,-0.59%,1.57%,0
122,neutral grip chest press table top both arms,MVP,1229,8,0.00%,100.00%,100.00%,1,0,99.87%,80,75.44%,-0.13%,0.00%,0
123,overhead extension kneeling both arms,MVP,805,16,10.30%,37.50%,75.00%,0,0.3125,99.54%,170,70.01%,-0.16%,4.42%,0
124,overhead extension kneeling lunge right one dumbbell,MVP,787,18,11.26%,33.33%,77.78%,0,0.7222222222,99.69%,186,70.86%,-0.29%,1.16%,0
125,overhead extension kneeling one dumbbell,MVP,786,9,10.56%,11.11%,88.89%,0,-0.1111111111,100.00%,113,57.51%,0.00%,4.94%,0
126,overhead extension kneeling right lunge both arms,MVP,799,19,7.75%,63.16%,89.47%,1,0.4736842105,98.84%,186,75.55%,-0.49%,1.04%,0
127,overhead extension kneeling single arm with resting arm down,MVP,802,18,3.69%,72.22%,88.89%,1,-0.05555555556,99.65%,262,75.21%,-0.16%,-1.00%,0
128,overhead extension standing alternating with resting arm down,MVP,812,6,6.78%,50.00%,83.33%,1,0,98.60%,55,82.12%,-0.19%,-5.54%,0
129,overhead extension standing both arms,MVP,810,10,11.38%,50.00%,70.00%,0,0.2,98.54%,101,66.14%,-0.51%,-0.18%,0
130,overhead extension standing one dumbbell,MVP,807,19,20.93%,47.37%,68.42%,0,-0.5263157895,99.20%,197,47.24%,0.16%,3.62%,1
131,overhead extension standing single arm,MVP,811,19,6.60%,26.32%,68.42%,1,0.6315789474,97.88%,307,82.19%,0.99%,0.97%,0
132,overhead press kneeling alternating resting arm down,MVP,831,18,2.68%,77.78%,94.44%,1,-0.05555555556,98.24%,184,96.63%,0.05%,1.57%,0
133,overhead press kneeling both arms,MVP,835,18,3.64%,72.22%,94.44%,1,0.05555555556,97.60%,192,92.33%,1.03%,2.21%,0
134,overhead press kneeling single arm,List A,836,19,17.32%,26.32%,68.42%,0,-1.157894737,93.21%,369,83.30%,-4.19%,5.43%,1
135,overhead press kneeling single arm with resting arm down,MVP,832,20,6.11%,60.00%,85.00%,1,0.1,94.52%,198,85.05%,-3.27%,0.50%,0
136,overhead press standing alternating with resting arm down,MVP,841,20,5.84%,65.00%,90.00%,1,-0.35,96.27%,197,85.11%,0.28%,2.50%,0
137,overhead press standing alternating with resting arm up,List A,837,19,10.96%,26.32%,89.47%,0,0.1578947368,98.65%,198,83.39%,1.41%,-2.63%,0
138,overhead press standing both arms,MVP,839,19,1.64%,84.21%,100.00%,1,0.05263157895,96.79%,179,92.60%,0.56%,-0.58%,0
139,overhead press standing single arm,MVP,840,20,1.71%,70.00%,95.00%,1,0.35,97.86%,401,95.14%,0.22%,0.22%,0
140,overhead press standing single arm with resting arm down,MVP,842,19,4.74%,63.16%,94.74%,1,0.3684210526,96.15%,190,94.82%,1.51%,1.58%,0
141,overhead press wide kneeling alternating resting arm down,MVP,1498,5,3.33%,80.00%,80.00%,1,-0.4,92.83%,60,91.50%,-7.17%,3.33%,0
142,overhead press wide kneeling both arms,MVP,1500,5,10.00%,60.00%,60.00%,0,1,99.48%,50,48.64%,1.03%,8.00%,0
143,overhead press wide kneeling single arm,MVP,1501,5,0.00%,100.00%,100.00%,1,0,94.60%,30,89.46%,-5.40%,-3.33%,0
144,overhead press wide standing alternating with resting arm down,MVP,1493,8,2.08%,75.00%,100.00%,1,0,100.00%,96,91.28%,0.77%,2.08%,0
145,overhead press wide standing both arms,MVP,1495,3,0.00%,100.00%,100.00%,1,0,99.17%,30,80.49%,0.17%,-3.33%,0
146,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0,98.99%,32,76.59%,0.21%,0.00%,0
147,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.2666666667,99.78%,133,69.05%,0.00%,0.00%,0
148,pike pushup on toes,List A,851,13,0.00%,100.00%,100.00%,1,0,100.00%,117,64.79%,0.00%,-1.54%,0
149,punches alternating heels planted,List A,1084,11,17.49%,36.36%,63.64%,0,-2,88.92%,146,71.62%,-7.96%,-1.49%,0
150,push press single arm,List A,1242,13,6.86%,46.15%,69.23%,1,0.07692307692,88.22%,218,95.90%,-8.64%,3.46%,1
151,push press standing both arms,List A,1241,20,14.72%,60.00%,70.00%,0,-0.5,84.44%,185,93.35%,-12.44%,11.67%,0
152,pushup jack at bottom,List A,963,14,12.74%,71.43%,85.71%,0,-0.4285714286,88.62%,77,83.55%,-5.93%,10.06%,0
153,pushup on knees,MVP,328,15,6.51%,80.00%,93.33%,1,-1.066666667,98.46%,180,84.75%,-0.63%,-0.89%,0
154,pushup on toes,MVP,856,11,4.80%,63.64%,81.82%,1,0.2727272727,94.29%,100,79.96%,5.40%,-3.55%,-2
155,reverse fly on knees both arms,MVP,1253,19,8.48%,68.42%,73.68%,1,0.3684210526,96.35%,198,71.77%,-2.29%,2.26%,1
156,reverse fly split stance both arms,MVP,1256,14,8.27%,28.57%,57.14%,1,1.5,94.65%,248,75.37%,-0.57%,3.52%,0
157,reverse fly standing bent over alternating,MVP,1251,11,10.73%,36.36%,72.73%,0,0.8181818182,94.87%,128,61.49%,-3.57%,-6.64%,0
158,reverse fly standing bent over both arms,MVP,1250,18,12.02%,61.11%,77.78%,0,0.8888888889,99.57%,194,72.37%,0.02%,10.35%,0
159,reverse lunge alternating,MVP,871,10,1.43%,90.00%,100.00%,1,0.1,97.74%,119,89.33%,0.21%,1.43%,0
160,reverse lunge alternating single dumbbell pass through,List A,872,7,1.43%,85.71%,100.00%,1,-0.1428571429,96.48%,77,92.75%,0.03%,0.33%,0
161,reverse lunge arms by side,MVP,881,18,7.86%,72.22%,77.78%,1,-0.8888888889,95.32%,197,77.52%,-1.63%,1.21%,0
162,reverse lunge arms by side dumbbell,MVP,890,13,2.65%,76.92%,92.31%,1,0.2307692308,96.76%,144,81.98%,-2.10%,-2.01%,0
163,reverse lunge arms overhead,MVP,883,19,5.45%,63.16%,89.47%,1,0.1578947368,99.01%,209,82.23%,0.86%,4.40%,0
164,reverse lunge arms overhead dumbbell,MVP,891,5,2.00%,80.00%,100.00%,1,-0.2,98.35%,52,88.76%,-0.16%,2.00%,0
165,reverse lunge arms straight out,MVP,882,20,2.18%,75.00%,100.00%,1,-0.15,98.35%,220,78.93%,0.91%,-0.42%,0
166,reverse lunge hands on hips,MVP,884,17,5.51%,70.59%,76.47%,1,-0.5882352941,95.89%,185,65.75%,-1.87%,-0.54%,0
167,reverse lunge offset,MVP,877,5,1.82%,80.00%,100.00%,1,0.2,98.72%,51,85.68%,4.59%,-0.18%,0
168,reverse lunge runner arms,MVP,887,17,3.78%,70.59%,94.12%,1,-0.2941176471,96.28%,182,88.45%,-0.41%,2.18%,0
169,reverse lunge single dumbbell by side,MVP,878,7,4.29%,71.43%,85.71%,1,-0.4285714286,99.77%,70,72.27%,1.71%,0.00%,0
170,reverse lunge single dumbbell overhead,MVP,879,6,6.52%,66.67%,83.33%,1,-0.3333333333,97.25%,60,92.84%,4.38%,0.00%,0
171,reverse lunge single leg,MVP,880,4,14.86%,25.00%,75.00%,0,-2.5,97.72%,68,94.10%,-0.19%,0.00%,0
172,reverse lunge weights racked,MVP,892,8,2.50%,87.50%,87.50%,1,-0.25,98.14%,86,83.42%,0.23%,0.00%,0
173,reverse lunge with curl,List A,885,19,4.39%,78.95%,89.47%,1,-0.3157894737,99.17%,185,86.68%,0.73%,2.16%,1
174,reverse lunge with twist dumbbell,List A,889,7,5.87%,71.43%,85.71%,1,-0.2857142857,98.66%,69,93.37%,1.84%,0.00%,0
175,roll up fingertips to ceiling,List A,1093,17,4.77%,76.47%,88.24%,1,0.4705882353,96.27%,157,89.12%,0.28%,2.42%,0
176,roll up fingertips to toes,List A,1094,19,7.69%,68.42%,89.47%,1,0.1578947368,90.10%,169,87.70%,-5.64%,2.86%,0
177,shoulder tap on knees,List A,1096,16,20.49%,18.75%,50.00%,0,-2.4375,95.46%,198,30.14%,-2.47%,7.59%,0
178,shoulder tap on toes,List A,1098,13,42.91%,7.69%,30.77%,0,-6.615384615,68.97%,184,29.20%,-23.67%,22.05%,0
179,side bend kneeling alternating,List A,1106,13,7.70%,53.85%,84.62%,1,-0.5384615385,98.96%,142,73.93%,-0.34%,6.29%,0
180,side bend kneeling single side,List A,1105,13,10.56%,46.15%,76.92%,0,-0.2307692308,96.39%,243,76.94%,2.36%,0.96%,0
181,single leg deadlift alternating arms by side,MVP,904,18,8.87%,72.22%,88.89%,1,0.5,96.86%,190,94.48%,1.72%,2.14%,0
182,single leg deadlift alternating arms straight out,MVP,905,18,3.24%,72.22%,94.44%,1,0.1111111111,96.51%,197,90.48%,1.23%,0.71%,0
183,single leg deadlift both hands holding one dumbbell,MVP,915,19,1.36%,78.95%,100.00%,1,-0.1052631579,98.34%,294,89.87%,0.28%,0.83%,0
184,single leg deadlift opposite side hand dumbbell,MVP,908,11,9.04%,54.55%,81.82%,1,-0.7272727273,98.55%,117,86.55%,0.80%,1.82%,0
185,single leg deadlift same leg arms by side,MVP,910,20,2.06%,75.00%,100.00%,1,0.25,97.85%,259,94.42%,1.91%,0.73%,0
186,single leg deadlift same side hand dumbbell,MVP,909,12,7.39%,58.33%,91.67%,1,-0.4166666667,92.37%,177,92.24%,-2.95%,7.00%,-1
187,snatch alternating,MVP,1107,20,22.39%,25.00%,35.00%,0,1.6,92.48%,205,76.10%,-2.82%,14.72%,0
188,snatch both arms,MVP,1108,10,20.55%,30.00%,50.00%,0,2,99.04%,98,90.72%,0.05%,19.30%,0
189,snatch hang,MVP,1110,20,11.09%,60.00%,80.00%,0,0.8,94.63%,197,84.05%,-0.84%,8.12%,1
190,snatch power,MVP,1112,19,20.46%,15.79%,47.37%,0,-1.526315789,92.12%,342,81.67%,-1.29%,-0.18%,0
191,snatch single arm,MVP,1109,8,29.89%,25.00%,25.00%,0,2.25,97.49%,88,82.74%,-1.04%,11.85%,0
192,split squat arms by side,MVP,937,11,1.01%,90.91%,100.00%,1,0.09090909091,98.68%,101,46.09%,-0.97%,-1.01%,0
193,split squat arms out laterally,MVP,938,10,1.25%,90.00%,100.00%,1,-0.1,99.90%,97,58.59%,0.95%,0.25%,0
194,split squat arms overhead,MVP,940,11,7.04%,63.64%,81.82%,1,-0.1818181818,99.59%,109,58.97%,0.09%,0.67%,0
