,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6_FAstridefix,n_sets delta w/ hydra_v6_FAstridefix,is_FA delta w/ hydra_v6_FAstridefix,signal_score delta w/ hydra_v6_FAstridefix
25,bodyweight squat arms swinging,MVP,576,5,0.00%,100.00%,100.00%,1,0,94.56%,57,94.89%,0.00%,0.00,0.60%,-1.42%
26,bodyweight squat hands at shoulders,MVP,329,18,1.47%,88.89%,94.44%,1,-0.0555556,98.84%,191,96.53%,-0.98%,-1.00,2.58%,-0.01%
27,bodyweight squat hands centered,MVP,577,19,0.00%,100.00%,100.00%,1,0,94.85%,194,95.99%,0.00%,0.00,-0.50%,2.99%
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.2307692,98.34%,128,93.07%,0.00%,0.00,0.31%,-2.43%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,27.02%,0.00%,33.33%,0,3,99.03%,34,96.86%,0.00%,0.00,0.66%,1.22%
30,bodyweight sumo squat arms overhead,MVP,1629,5,13.09%,60.00%,60.00%,0,-1.4,90.14%,51,93.13%,4.00%,0.00,-6.23%,18.02%
31,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0,98.55%,55,89.85%,0.00%,0.00,0.93%,0.24%
32,bodyweight sumo squat arms swinging,MVP,1631,5,1.82%,80.00%,100.00%,1,-0.2,95.27%,56,95.10%,0.00%,0.00,1.91%,1.79%
33,bodyweight sumo squat hands centered,MVP,1632,5,2.00%,80.00%,100.00%,1,0.2,98.32%,50,79.69%,2.00%,0.00,1.95%,0.25%
34,bodyweight sumo squat hands on head,MVP,1633,5,19.64%,20.00%,40.00%,0,-0.8,95.26%,52,56.07%,1.64%,0.00,13.79%,-29.04%
35,bridging clamshells,List A,543,6,0.00%,100.00%,100.00%,1,0,100.00%,41,56.67%,0.00%,0.00,0.00%,-8.43%
36,broad jump with back pedal,List A,1035,18,13.13%,50.00%,77.78%,0,1.5,99.93%,222,44.49%,-0.34%,0.00,0.15%,5.35%
37,broad jump with jump back,List A,1037,7,34.10%,0.00%,14.29%,0,0.85714286,96.34%,51,74.42%,-0.51%,0.00,6.43%,2.90%
38,burpee chest to the ground,MVP,664,18,7.04%,72.22%,94.44%,1,0.22222222,94.10%,98,87.48%,-0.56%,0.00,0.31%,1.92%
39,burpee from plank,MVP,665,14,5.08%,78.57%,92.86%,1,0.28571429,94.32%,76,86.07%,-0.39%,-2.00,1.39%,4.12%
40,burpee with pushup,MVP,666,17,14.90%,47.06%,82.35%,0,-0.5882353,95.26%,109,72.42%,-2.65%,0.00,0.32%,7.24%
41,chest fly standing both arms,MVP,1050,8,4.48%,50.00%,100.00%,1,0.5,99.06%,81,97.17%,0.96%,0.00,1.74%,-0.57%
42,chest fly standing staggered both arms,MVP,1051,12,5.54%,50.00%,91.67%,1,0.58333333,99.08%,138,96.52%,0.44%,0.00,1.73%,-0.36%
43,clamshells from laying,List A,587,16,13.24%,43.75%,62.50%,0,-1.3125,98.83%,191,51.61%,3.44%,-1.00,-0.09%,-13.32%
44,clean both arms hang,List A,1058,20,9.22%,70.00%,85.00%,1,0.9,98.37%,193,90.97%,0.44%,0.00,0.27%,-0.26%
45,clean single arm alternating,List A,1060,16,14.04%,56.25%,81.25%,0,1.4375,98.51%,160,96.46%,-0.88%,0.00,0.68%,1.18%
46,concentrated curl kneeling lunge,List A,1030,18,6.53%,50.00%,77.78%,1,0.33333333,92.83%,183,80.48%,-2.31%,0.00,-4.41%,8.70%
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,1.19%,87.50%,100.00%,1,0,97.16%,169,91.32%,-2.84%,0.00,4.42%,-4.27%
48,cross body curl standing alternating with resting arm down,MVP,592,16,0.63%,93.75%,100.00%,1,-0.0625,97.35%,160,88.71%,0.10%,0.00,1.91%,-1.66%
49,cross body curl standing single arm with resting arm down,MVP,593,10,10.24%,50.00%,90.00%,0,-1.7,98.59%,196,97.91%,0.45%,0.00,2.69%,0.72%
50,crunch arms above you,List A,1082,18,7.25%,77.78%,83.33%,1,-0.5,99.68%,195,54.38%,-2.82%,0.00,-0.30%,-0.98%
51,crunch arms overhead,List A,1081,18,7.81%,61.11%,83.33%,1,-0.1666667,98.59%,178,63.83%,-0.10%,0.00,-0.53%,0.98%
52,crunch table top,List A,1083,18,8.80%,55.56%,66.67%,1,-0.5,99.75%,191,25.30%,-1.53%,0.00,0.00%,2.26%
53,deadlift arms by side,MVP,671,15,7.70%,80.00%,86.67%,1,-0.7333333,88.68%,143,89.17%,1.48%,0.00,1.32%,1.89%
54,deadlift arms straight out,MVP,672,15,6.67%,93.33%,93.33%,1,-0.6666667,94.15%,144,92.23%,2.00%,0.00,-0.20%,-3.25%
55,deadlift hands on hips,MVP,673,15,4.07%,86.67%,93.33%,1,-0.2666667,92.66%,151,88.86%,-1.41%,0.00,2.84%,-0.58%
56,deadlift romanian,MVP,675,10,0.00%,100.00%,100.00%,1,0,90.97%,98,98.43%,-1.68%,0.00,0.78%,-0.18%
57,deadlift single dumbbell,MVP,676,9,8.53%,55.56%,77.78%,1,-1.3333333,90.73%,128,91.38%,0.56%,0.00,-2.46%,-5.08%
58,deadlift suitcase,MVP,677,7,10.52%,71.43%,85.71%,0,-0.8571429,92.47%,72,94.55%,1.43%,0.00,-1.52%,-3.06%
59,diagonal chop bodyweight,List A,1065,13,15.62%,69.23%,76.92%,0,1.46153846,93.61%,275,86.39%,5.47%,-3.00,-1.91%,0.51%
60,dumbbell pass through on knees,List A,1141,14,6.79%,50.00%,85.71%,1,0.14285714,98.20%,136,68.12%,-6.55%,-3.00,-0.09%,-1.83%
61,dumbbell pass through on toes,List A,1142,18,15.03%,33.33%,66.67%,0,-0.2777778,97.68%,180,60.00%,-0.95%,0.00,2.34%,-2.17%
62,dumbbell push up on knees,MVP,1530,5,7.71%,60.00%,80.00%,1,0.2,99.13%,44,92.89%,0.00%,0.00,1.54%,-1.82%
63,dumbbell push up on toes,MVP,1529,4,0.00%,100.00%,100.00%,1,0,98.72%,40,95.45%,0.00%,0.00,0.28%,0.59%
64,dumbbell swing alternating single arm passing dumbbell,List A,679,13,6.05%,53.85%,84.62%,1,-0.6153846,98.40%,149,86.44%,-2.42%,-3.00,1.96%,-1.45%
65,dumbbell swing both arms single dumbbell,List A,681,16,4.12%,62.50%,93.75%,1,0.1875,96.72%,173,93.06%,-1.59%,-3.00,0.51%,-1.00%
66,dumbbell swing suitcase,List A,687,10,3.00%,70.00%,100.00%,1,-0.1,94.04%,107,89.37%,-0.67%,0.00,3.58%,-3.64%
67,dumbbell thruster alternating,MVP,689,14,12.98%,50.00%,71.43%,0,-1.1428571,96.40%,168,98.60%,1.26%,0.00,-1.36%,1.06%
68,dumbbell thruster classic,MVP,688,12,0.00%,100.00%,100.00%,1,0,96.48%,121,99.08%,0.00%,0.00,-0.82%,0.80%
69,dumbbell thruster to rotational press both arms,MVP,691,10,0.00%,100.00%,100.00%,1,0,97.22%,99,91.80%,0.00%,0.00,-0.83%,-0.43%
70,french doors kneeling alternating with resting arm in,MVP,1319,12,8.93%,33.33%,91.67%,1,-0.0833333,96.86%,123,72.52%,4.08%,0.00,-0.75%,11.09%
71,french doors kneeling both arms,MVP,1145,11,6.23%,36.36%,100.00%,1,0.63636364,98.74%,111,78.38%,4.31%,0.00,0.31%,4.31%
72,french doors standing alternating with resting arm in,MVP,1320,20,8.92%,15.00%,100.00%,1,0.45,98.80%,198,77.90%,7.92%,0.00,-0.60%,8.77%
73,french doors standing both arms,MVP,1148,20,3.29%,65.00%,100.00%,1,0.25,99.24%,211,88.35%,2.29%,0.00,-0.19%,10.67%
74,french doors standing single arm,MVP,1149,14,2.86%,50.00%,100.00%,1,0.21428571,98.95%,245,79.10%,2.86%,0.00,-0.27%,6.65%
75,front lunge arms by side,MVP,700,8,4.03%,62.50%,87.50%,1,-0.625,96.43%,92,73.57%,0.83%,0.00,1.33%,-3.97%
76,front lunge arms out laterally,MVP,704,7,1.43%,85.71%,100.00%,1,0.14285714,98.10%,73,75.27%,-1.43%,0.00,2.93%,0.18%
77,front lunge arms overhead,MVP,702,8,6.25%,75.00%,87.50%,1,-0.375,97.98%,80,76.90%,1.25%,0.00,0.50%,-5.45%
78,front lunge arms straight out,MVP,701,12,3.26%,66.67%,100.00%,1,0,89.84%,120,92.84%,0.83%,0.00,1.04%,-4.08%
79,front lunge hands on hips,MVP,705,8,1.25%,87.50%,100.00%,1,0.125,95.35%,79,80.73%,0.00%,0.00,-1.08%,1.37%
80,front lunge runner arms,MVP,707,14,2.82%,71.43%,92.86%,1,-0.0714286,97.82%,151,94.24%,0.40%,0.00,0.92%,-0.92%
81,front lunge weights hanging,MVP,708,14,0.00%,100.00%,100.00%,1,0,98.06%,139,97.26%,0.00%,0.00,0.89%,0.18%
82,front lunge weights racked,MVP,710,12,2.50%,83.33%,91.67%,1,-0.25,98.71%,119,96.24%,0.00%,0.00,1.20%,58.99%
83,front lunge with curl,List A,706,9,0.00%,100.00%,100.00%,1,0,94.54%,95,97.58%,0.00%,0.00,0.39%,0.68%
84,front raise kneeling alternating with resting arm down,MVP,716,5,0.00%,100.00%,100.00%,1,0,98.25%,50,95.54%,0.00%,0.00,-1.23%,-0.04%
85,front raise kneeling both arms,MVP,718,10,1.00%,90.00%,100.00%,1,-0.1,98.84%,104,98.91%,0.00%,0.00,-0.39%,-0.09%
86,front raise kneeling single arm with resting arm down,MVP,719,12,5.22%,33.33%,83.33%,1,0.5,96.59%,220,87.89%,0.02%,0.00,0.24%,-5.14%
87,front raise standing alternating with resting arm down,MVP,731,16,2.29%,75.00%,100.00%,1,-0.25,97.16%,167,94.90%,-2.01%,0.00,0.04%,4.51%
88,front raise standing alternating with resting arm up,List A,728,12,9.17%,25.00%,83.33%,1,0.58333333,99.83%,121,92.09%,-4.17%,0.00,0.23%,2.19%
89,front raise standing both arms,MVP,729,14,1.43%,85.71%,100.00%,1,-0.1428571,98.10%,131,98.98%,0.10%,-1.00,0.08%,-0.22%
90,front raise standing single arm with resting arm down,MVP,730,11,8.18%,54.55%,90.91%,1,-1.2727273,98.85%,209,94.30%,0.00%,0.00,1.64%,-0.55%
91,front raise standing single arm with resting arm up,List A,727,12,18.71%,25.00%,75.00%,0,2,94.69%,173,96.13%,-4.61%,0.00,1.10%,-1.01%
92,front to back lunge arms by side,List A,1164,6,11.90%,83.33%,83.33%,0,0.83333333,94.54%,66,92.62%,0.99%,0.00,-0.02%,3.62%
93,front to back lunge weights hanging,List A,1169,14,9.65%,35.71%,57.14%,1,-1.0714286,96.94%,243,87.15%,2.99%,-5.00,3.85%,-3.98%
94,front to back lunge with rotation,List A,1163,11,25.51%,54.55%,63.64%,0,0,96.78%,166,95.43%,-0.83%,0.00,1.94%,0.36%
95,hand release pushup on knees,List A,304,16,4.16%,68.75%,93.75%,1,0.375,95.92%,125,92.26%,1.25%,0.00,-0.51%,-1.49%
96,hand release pushup on knees arms extended,List A,1503,6,18.08%,50.00%,66.67%,0,-1,98.45%,66,86.47%,4.44%,0.00,-0.55%,73.30%
97,hand release pushup on toes,List A,594,13,1.54%,92.31%,100.00%,1,0.07692308,95.95%,66,95.44%,0.00%,0.00,2.72%,0.84%
98,hand release pushup on toes arms extended,List A,1502,5,20.33%,40.00%,60.00%,0,-1.8,98.74%,54,94.03%,-5.00%,0.00,0.23%,88.31%
99,hip bridge repping hands bent at 90,List A,599,15,8.00%,80.00%,93.33%,1,-0.8666667,100.00%,158,61.55%,6.59%,-5.00,0.00%,-17.10%
100,lateral lunge alternating single dumbbell,MVP,749,14,5.00%,85.71%,92.86%,1,0.14285714,95.99%,140,93.90%,3.00%,-1.00,5.57%,0.18%
101,lateral lunge arms by side,MVP,740,20,2.13%,90.00%,95.00%,1,-0.2,87.58%,196,96.28%,-2.00%,0.00,2.68%,-0.13%
102,lateral lunge arms by side dumbbell,MVP,750,9,5.80%,55.56%,88.89%,1,-0.3333333,90.97%,84,97.28%,-1.67%,-2.00,2.15%,-0.03%
103,lateral lunge arms straight out,MVP,737,7,4.29%,57.14%,100.00%,1,0.14285714,88.92%,70,79.84%,1.27%,0.00,3.39%,-0.14%
104,lateral lunge hands on head,MVP,738,6,1.67%,83.33%,100.00%,1,0.16666667,95.42%,59,66.49%,1.67%,0.00,1.90%,-8.26%
105,lateral lunge hands on hips,MVP,739,9,15.28%,77.78%,77.78%,0,0.22222222,91.81%,84,95.21%,3.82%,-3.00,1.64%,1.14%
106,lateral lunge left,MVP,319,8,4.03%,62.50%,100.00%,1,-0.375,89.37%,62,77.91%,-1.79%,0.00,-1.32%,-3.26%
107,lateral lunge swing to arms overhead,MVP,746,7,2.86%,71.43%,100.00%,1,0.28571429,91.79%,71,97.36%,-2.03%,-1.00,1.85%,0.11%
108,lateral lunge weights racked,MVP,751,17,2.42%,76.47%,100.00%,1,-0.1176471,98.95%,169,75.04%,-0.32%,-1.00,1.14%,-1.23%
109,lateral lunge with runners arms,MVP,744,8,0.00%,100.00%,100.00%,1,0,91.30%,89,87.96%,0.00%,0.00,8.78%,-0.63%
110,lateral raise kneeling alternating with resting arm down,MVP,770,3,5.92%,33.33%,100.00%,1,0.66666667,95.30%,37,97.57%,0.00%,0.00,1.08%,-0.06%
111,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0,98.85%,54,97.95%,0.00%,0.00,2.53%,0.91%
112,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.2857143,98.45%,66,97.82%,0.00%,0.00,0.97%,0.34%
113,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,1.04%,91.67%,100.00%,1,0.08333333,99.19%,121,95.41%,0.00%,0.00,-0.03%,0.15%
114,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,0.38%,92.31%,100.00%,1,0.07692308,99.72%,205,95.19%,-0.38%,0.00,0.53%,1.72%
115,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0,99.50%,138,98.17%,0.00%,0.00,0.31%,0.79%
116,lateral raise kneeling single arm with resting arm down,MVP,773,6,0.00%,100.00%,100.00%,1,0,99.01%,89,91.34%,0.00%,0.00,1.59%,-4.93%
117,lateral raise standing alternating with resting arm down,MVP,780,8,0.00%,100.00%,100.00%,1,0,96.34%,78,94.48%,0.00%,0.00,4.25%,0.93%
118,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0,98.56%,161,98.03%,0.00%,0.00,1.29%,-0.06%
119,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.14285714,99.06%,75,97.97%,0.00%,0.00,1.11%,0.66%
120,lateral raise standing single arm with resting arm down,MVP,779,6,3.33%,50.00%,100.00%,1,0.5,98.83%,96,97.43%,2.08%,2.00,0.92%,-0.68%
121,neutral grip chest press hook lying both arms,MVP,1212,17,5.59%,82.35%,94.12%,1,-0.4705882,99.91%,191,85.72%,-4.49%,-2.00,1.96%,0.26%
122,neutral grip chest press table top alternating with resting arm up,List A,1228,11,12.15%,36.36%,81.82%,0,-0.5454545,100.00%,114,74.55%,-0.08%,0.00,0.36%,-1.15%
123,neutral grip chest press table top both arms,MVP,1229,7,1.19%,85.71%,100.00%,1,-0.1428571,99.93%,69,86.70%,1.19%,-1.00,0.12%,-0.74%
124,overhead extension kneeling both arms,MVP,805,16,4.11%,56.25%,100.00%,1,0.1875,99.79%,170,95.19%,-4.32%,0.00,-0.14%,0.50%
125,overhead extension kneeling lunge right one dumbbell,MVP,787,18,8.64%,44.44%,88.89%,1,0.22222222,99.98%,186,87.22%,-0.62%,0.00,0.15%,-2.35%
126,overhead extension kneeling one dumbbell,MVP,786,9,5.00%,55.56%,88.89%,1,0.55555556,100.00%,113,94.18%,-6.83%,0.00,0.00%,7.32%
127,overhead extension kneeling right lunge both arms,MVP,799,19,8.26%,52.63%,84.21%,1,0,99.41%,186,85.60%,-1.12%,0.00,0.31%,-0.95%
128,overhead extension kneeling single arm with resting arm down,MVP,802,18,4.64%,38.89%,100.00%,1,0.38888889,99.89%,262,95.67%,3.38%,0.00,0.01%,2.17%
129,overhead extension standing alternating with resting arm down,MVP,812,6,7.78%,33.33%,100.00%,1,0.66666667,98.77%,55,96.51%,7.78%,0.00,-0.32%,1.94%
130,overhead extension standing both arms,MVP,810,11,15.55%,36.36%,72.73%,0,1,99.28%,111,73.61%,6.71%,0.00,-0.04%,-2.53%
131,overhead extension standing one dumbbell,MVP,807,20,16.09%,45.00%,70.00%,0,-0.5,99.03%,220,80.92%,-2.41%,0.00,0.05%,-0.26%
132,overhead extension standing single arm,MVP,811,19,6.42%,36.84%,84.21%,1,0.31578947,96.99%,307,91.20%,-2.02%,0.00,-0.47%,0.75%
133,overhead press kneeling alternating resting arm down,MVP,831,18,2.17%,77.78%,100.00%,1,0,98.38%,184,98.47%,0.00%,0.00,0.16%,0.34%
134,overhead press kneeling both arms,MVP,835,18,2.49%,72.22%,100.00%,1,-0.0555556,96.72%,192,94.34%,0.93%,0.00,1.03%,-0.45%
135,overhead press kneeling single arm,List A,836,20,10.37%,40.00%,70.00%,0,-0.5,97.19%,379,92.46%,-4.14%,0.00,2.50%,5.15%
136,overhead press kneeling single arm with resting arm down,MVP,832,20,5.61%,55.00%,90.00%,1,0.45,97.79%,198,95.99%,2.00%,0.00,6.08%,1.94%
137,overhead press standing alternating with resting arm down,MVP,841,20,2.34%,80.00%,100.00%,1,0.1,96.39%,197,85.45%,-5.50%,0.00,1.33%,1.82%
138,overhead press standing alternating with resting arm up,List A,837,19,11.49%,42.11%,84.21%,0,-0.4210526,97.39%,198,76.64%,-1.89%,0.00,1.05%,-5.42%
139,overhead press standing both arms,MVP,839,19,1.11%,89.47%,100.00%,1,0,95.72%,179,91.18%,-0.47%,0.00,2.04%,-2.04%
140,overhead press standing single arm,MVP,840,20,2.75%,45.00%,100.00%,1,0.45,97.77%,401,97.56%,1.47%,0.00,0.90%,-0.33%
141,overhead press standing single arm with resting arm down,MVP,842,19,4.74%,52.63%,100.00%,1,0.36842105,94.89%,190,98.03%,3.16%,0.00,3.21%,0.25%
142,overhead press wide kneeling alternating resting arm down,MVP,1498,5,0.00%,100.00%,100.00%,1,0,99.90%,60,93.34%,0.00%,0.00,0.93%,14.26%
143,overhead press wide kneeling both arms,MVP,1500,5,2.00%,80.00%,100.00%,1,-0.2,98.20%,50,82.71%,2.00%,0.00,0.59%,-4.58%
144,overhead press wide kneeling single arm,MVP,1501,5,3.33%,80.00%,100.00%,1,-0.2,100.00%,30,72.22%,-20.00%,0.00,17.76%,-6.95%
145,overhead press wide standing alternating with resting arm down,MVP,1493,8,1.04%,87.50%,100.00%,1,-0.125,99.40%,96,95.75%,1.04%,0.00,0.84%,1.67%
146,overhead press wide standing both arms,MVP,1495,3,3.33%,66.67%,100.00%,1,-0.3333333,99.01%,30,94.98%,3.33%,0.00,3.12%,-2.50%
147,overhead press wide standing single arm,MVP,1496,6,12.27%,50.00%,83.33%,0,-1,98.34%,43,54.58%,1.55%,0.00,12.27%,-23.45%
148,overhead press wide standing single arm with resting arm down,MVP,1497,5,3.33%,80.00%,100.00%,1,-0.2,98.37%,32,78.10%,3.33%,0.00,2.05%,0.29%
149,pike pushup on knees,List A,335,14,1.43%,85.71%,100.00%,1,-0.1428571,99.77%,123,71.78%,0.10%,-1.00,-0.02%,-0.19%
150,pike pushup on toes,List A,851,11,0.00%,100.00%,100.00%,1,0,100.00%,100,84.84%,0.00%,-2.00,0.00%,14.81%
151,punches alternating heels planted,List A,1084,11,10.58%,45.45%,63.64%,0,-0.4545455,97.08%,146,80.26%,-4.37%,0.00,0.19%,1.33%
152,push press single arm,List A,1242,9,1.73%,77.78%,88.89%,1,0.33333333,97.49%,159,96.38%,-10.54%,-4.00,24.63%,3.61%
153,push press standing both arms,List A,1241,16,4.44%,68.75%,87.50%,1,-0.125,98.16%,158,96.99%,-56.29%,-4.00,62.12%,23.52%
154,pushup jack at bottom,List A,963,15,6.28%,73.33%,93.33%,1,-0.1333333,94.25%,82,87.62%,2.94%,-1.00,-1.79%,12.26%
155,pushup on knees,MVP,328,15,8.68%,66.67%,86.67%,1,-0.8666667,99.01%,180,76.29%,0.83%,0.00,0.66%,4.22%
156,pushup on toes,MVP,856,13,8.71%,84.62%,84.62%,1,-0.5384615,90.03%,121,93.26%,-2.03%,0.00,2.58%,7.35%
157,reverse fly on knees both arms,MVP,1253,17,5.89%,70.59%,88.24%,1,0.52941176,98.45%,178,87.18%,-0.86%,-2.00,-0.10%,0.72%
158,reverse fly split stance both arms,MVP,1256,9,6.88%,22.22%,55.56%,1,1.33333333,95.11%,173,87.30%,0.89%,-5.00,-0.67%,2.26%
159,reverse fly standing bent over alternating,MVP,1251,10,17.50%,40.00%,40.00%,0,-1.4,97.93%,103,64.45%,-2.23%,0.00,1.19%,3.84%
160,reverse fly standing bent over both arms,MVP,1250,15,0.61%,93.33%,100.00%,1,-0.0666667,99.41%,164,92.29%,-1.50%,-2.00,-0.24%,-0.21%
161,reverse lunge alternating,MVP,871,10,0.00%,100.00%,100.00%,1,0,97.67%,119,86.26%,0.00%,0.00,-0.30%,-8.34%
162,reverse lunge alternating single dumbbell pass through,List A,872,7,1.10%,85.71%,100.00%,1,0.14285714,96.68%,77,93.11%,0.14%,-1.00,-0.32%,0.78%
163,reverse lunge arms by side,MVP,881,16,5.37%,75.00%,93.75%,1,-0.3125,96.70%,176,92.25%,0.13%,-2.00,-0.09%,-1.15%
164,reverse lunge arms by side dumbbell,MVP,890,13,3.10%,84.62%,84.62%,1,0.30769231,98.90%,144,86.96%,0.70%,0.00,-0.03%,-0.60%
165,reverse lunge arms overhead,MVP,883,18,0.56%,94.44%,100.00%,1,-0.0555556,98.10%,199,96.13%,0.56%,-1.00,-0.61%,1.92%
166,reverse lunge arms overhead dumbbell,MVP,891,5,6.00%,80.00%,80.00%,1,-0.6,97.93%,52,93.92%,6.00%,0.00,0.30%,-1.24%
167,reverse lunge arms straight out,MVP,882,20,2.26%,90.00%,90.00%,1,-0.25,97.49%,220,91.33%,1.88%,0.00,-0.33%,-2.07%
168,reverse lunge hands on hips,MVP,884,16,3.99%,68.75%,87.50%,1,-0.4375,97.35%,174,86.08%,-2.01%,-1.00,-0.07%,7.44%
169,reverse lunge offset,MVP,877,4,0.00%,100.00%,100.00%,1,0,94.53%,41,97.04%,0.00%,-1.00,-0.06%,2.48%
170,reverse lunge runner arms,MVP,887,17,1.27%,88.24%,100.00%,1,-0.1176471,96.84%,182,95.57%,-1.66%,0.00,-0.07%,3.52%
171,reverse lunge single dumbbell by side,MVP,878,7,5.58%,71.43%,85.71%,1,-0.2857143,97.93%,70,93.09%,-1.59%,0.00,-0.08%,0.62%
172,reverse lunge single dumbbell overhead,MVP,879,6,3.18%,66.67%,100.00%,1,-0.3333333,92.93%,60,94.26%,-4.85%,0.00,1.32%,0.88%
173,reverse lunge single leg,MVP,880,3,5.00%,33.33%,100.00%,1,-0.6666667,97.09%,50,97.65%,-9.86%,-1.00,-1.46%,0.58%
174,reverse lunge weights racked,MVP,892,8,1.25%,87.50%,100.00%,1,-0.125,98.36%,86,91.94%,-1.25%,0.00,0.86%,36.56%
175,reverse lunge with curl,List A,885,16,3.13%,87.50%,93.75%,1,-0.3125,99.00%,156,94.97%,0.49%,-3.00,0.05%,-0.89%
