,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,FA Delta With V7,MARE Delta With V7,n_sets delta w/ hydra_v7,FA Delta With New Pipeline,MARE Delta With New Pipeline
33,bodyweight sumo squat hands centered,MVP,1632,5,2.00%,80.00%,100.00%,1,0.2,99.24%,50,77.74%,0.92%,0.00%,0.00,4.65%,-2.00%
34,bodyweight sumo squat hands on head,MVP,1633,5,19.45%,20.00%,40.00%,0,-1.2,97.55%,52,68.52%,2.84%,-0.18%,0.00,1.20%,5.81%
35,bridging clamshells,List A,543,6,6.32%,50.00%,100.00%,1,-0.5,100.00%,41,65.16%,0.00%,6.32%,0.00,0.13%,-10.35%
36,broad jump with back pedal,List A,1035,18,20.43%,44.44%,77.78%,0,2.444444444,99.81%,222,60.57%,-0.13%,9.58%,1.00,4.44%,-0.90%
37,broad jump with jump back,List A,1037,7,18.54%,42.86%,71.43%,0,-0.1428571429,97.32%,51,60.97%,0.73%,-4.51%,0.00,0.21%,-24.15%
38,burpee chest to the ground,MVP,664,18,11.76%,38.89%,100.00%,0,0.5,93.94%,98,85.22%,-0.08%,8.06%,0.00,1.34%,9.45%
39,burpee from plank,MVP,665,14,5.24%,78.57%,92.86%,1,0.1428571429,93.85%,76,45.65%,-0.46%,-3.25%,0.00,0.76%,-6.23%
40,burpee with pushup,MVP,666,17,18.92%,35.29%,82.35%,0,-0.8235294118,95.14%,109,80.72%,-0.18%,7.55%,0.00,0.87%,4.80%
41,chest fly standing both arms,MVP,1050,8,1.25%,87.50%,100.00%,1,0.125,95.67%,81,98.24%,-3.45%,-3.23%,0.00,0.97%,1.25%
42,chest fly standing staggered both arms,MVP,1051,12,3.58%,58.33%,100.00%,1,-0.08333333333,93.54%,138,98.56%,-5.74%,-1.96%,0.00,1.59%,-1.51%
43,clamshells from laying,List A,587,17,10.35%,58.82%,88.24%,0,-1.176470588,99.17%,201,69.56%,0.31%,3.32%,0.00,-0.70%,1.47%
44,clean both arms hang,List A,1058,20,9.17%,70.00%,90.00%,1,0.85,98.89%,193,91.03%,0.57%,1.62%,1.00,3.46%,2.60%
45,clean single arm alternating,List A,1060,16,14.75%,68.75%,75.00%,0,1.625,99.16%,160,93.05%,0.74%,3.22%,0.00,2.12%,1.11%
46,concentrated curl kneeling lunge,List A,1030,18,8.47%,33.33%,83.33%,1,0.3888888889,94.00%,183,79.55%,1.20%,0.71%,0.00,2.02%,-0.60%
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,10.64%,62.50%,81.25%,0,-0.625,97.04%,169,91.58%,-0.08%,7.01%,0.00,10.82%,3.20%
48,cross body curl standing alternating with resting arm down,MVP,592,16,10.63%,75.00%,81.25%,0,-1.0625,95.79%,160,87.65%,-2.22%,7.96%,1.00,11.42%,-1.88%
49,cross body curl standing single arm with resting arm down,MVP,593,10,9.29%,70.00%,90.00%,1,-1.9,98.64%,196,96.65%,1.01%,-1.41%,0.00,6.41%,-0.43%
50,crunch arms above you,List A,1082,18,15.06%,33.33%,55.56%,0,-1.722222222,99.98%,195,35.64%,0.17%,2.45%,1.00,1.63%,-0.81%
51,crunch arms overhead,List A,1081,16,7.60%,56.25%,93.75%,1,-0.625,99.15%,158,42.41%,0.70%,4.17%,0.00,0.00%,2.03%
52,crunch table top,List A,1083,18,17.83%,33.33%,61.11%,0,-1.888888889,99.89%,191,21.34%,0.17%,13.35%,2.00,0.14%,5.94%
53,deadlift arms by side,MVP,671,15,8.37%,80.00%,86.67%,1,-0.8,92.50%,143,91.33%,1.48%,2.00%,0.00,4.02%,1.33%
54,deadlift arms straight out,MVP,672,15,6.00%,86.67%,93.33%,1,-0.4666666667,91.63%,144,95.39%,-2.63%,1.33%,0.00,-3.34%,0.59%
55,deadlift hands on hips,MVP,673,15,4.74%,86.67%,93.33%,1,-0.3333333333,97.28%,151,90.86%,4.81%,0.74%,0.00,2.75%,0.00%
56,deadlift romanian,MVP,675,9,1.71%,88.89%,88.89%,1,0.2222222222,95.37%,87,98.16%,3.97%,1.71%,-1.00,1.06%,-1.51%
57,deadlift single dumbbell,MVP,676,9,7.55%,55.56%,88.89%,1,-1.333333333,95.14%,128,91.27%,4.53%,-0.43%,0.00,-1.94%,-3.58%
58,deadlift suitcase,MVP,677,7,9.09%,85.71%,85.71%,1,-1,97.47%,72,95.69%,4.85%,0.00%,0.00,-0.22%,0.00%
59,dumbbell pass through on knees,List A,1141,17,13.15%,29.41%,64.71%,0,0.1176470588,98.12%,174,68.01%,-0.55%,1.55%,0.00,1.23%,-0.28%
60,dumbbell pass through on toes,List A,1142,19,19.86%,5.26%,63.16%,0,-0.6315789474,96.87%,190,65.74%,-1.26%,1.79%,1.00,6.29%,5.55%
61,dumbbell push up on knees,MVP,1530,5,7.71%,60.00%,80.00%,1,0.2,99.37%,44,88.43%,0.45%,2.00%,0.00,0.94%,-4.67%
62,dumbbell push up on toes,MVP,1529,4,0.00%,100.00%,100.00%,1,0,98.62%,40,91.87%,0.20%,-2.50%,0.00,0.35%,0.00%
63,dumbbell swing alternating single arm passing dumbbell,List A,679,16,8.36%,56.25%,87.50%,1,-0.75,97.67%,178,87.88%,-0.79%,0.30%,0.00,9.53%,-11.41%
64,dumbbell swing both arms single dumbbell,List A,681,19,6.62%,47.37%,94.74%,1,0.1578947368,95.65%,201,91.10%,-0.12%,0.04%,1.00,5.99%,-5.65%
65,dumbbell swing suitcase,List A,687,10,3.00%,70.00%,100.00%,1,-0.1,95.73%,107,90.21%,1.99%,0.00%,0.00,6.18%,0.33%
66,dumbbell thruster alternating,MVP,689,14,12.87%,35.71%,78.57%,0,-1.142857143,97.07%,168,97.10%,0.41%,0.43%,0.00,1.61%,0.43%
67,dumbbell thruster classic,MVP,688,13,5.31%,46.15%,100.00%,1,0.5384615385,97.16%,131,97.78%,0.62%,4.48%,1.00,1.93%,5.31%
68,dumbbell thruster to rotational press both arms,MVP,691,10,1.00%,90.00%,100.00%,1,0.1,97.59%,99,95.68%,-0.19%,-1.00%,0.00,2.53%,0.00%
69,french doors kneeling alternating with resting arm in,MVP,1319,12,9.58%,33.33%,75.00%,1,-0.5,97.51%,123,54.64%,0.35%,-0.97%,0.00,3.06%,2.29%
70,french doors kneeling both arms,MVP,1145,10,6.02%,40.00%,100.00%,1,0.4,98.80%,101,75.30%,0.06%,-0.83%,0.00,3.71%,6.02%
71,french doors standing alternating with resting arm in,MVP,1320,20,5.71%,45.00%,100.00%,1,-0.05,98.92%,198,70.18%,0.36%,-4.38%,0.00,1.45%,-3.53%
72,french doors standing both arms,MVP,1148,19,3.92%,63.16%,94.74%,1,0.4210526316,99.52%,204,87.20%,0.39%,0.53%,0.00,1.83%,3.08%
73,french doors standing single arm,MVP,1149,14,3.74%,50.00%,92.86%,1,0,99.07%,245,73.80%,0.26%,0.06%,0.00,0.89%,2.96%
74,front lunge arms by side,MVP,700,7,1.43%,85.71%,100.00%,1,-0.1428571429,97.31%,74,70.65%,0.49%,-1.16%,1.00,2.94%,-6.35%
75,front lunge arms out laterally,MVP,704,7,5.71%,57.14%,85.71%,1,0,98.53%,73,73.00%,0.37%,4.29%,0.00,1.08%,0.26%
76,front lunge arms overhead,MVP,702,8,8.75%,62.50%,75.00%,1,-0.375,99.04%,80,74.54%,1.21%,2.50%,0.00,3.39%,-7.50%
77,front lunge arms straight out,MVP,701,12,2.42%,75.00%,100.00%,1,0.25,90.56%,120,94.02%,0.51%,0.00%,0.00,2.50%,-5.91%
78,front lunge hands on hips,MVP,705,8,0.00%,100.00%,100.00%,1,0,97.92%,79,82.95%,2.14%,-1.39%,0.00,10.15%,-2.50%
79,front lunge runner arms,MVP,707,14,2.87%,71.43%,92.86%,1,0.07142857143,97.33%,151,95.13%,-0.44%,-0.06%,0.00,2.04%,-6.77%
80,front lunge weights hanging,MVP,708,14,0.89%,92.86%,100.00%,1,0.07142857143,98.38%,139,95.91%,0.64%,0.18%,0.00,4.39%,-1.21%
81,front lunge weights racked,MVP,710,12,1.67%,91.67%,91.67%,1,-0.1666666667,98.33%,119,96.24%,-0.54%,0.00%,0.00,2.00%,-2.50%
82,front lunge with curl,List A,706,9,3.33%,77.78%,88.89%,1,0.3333333333,96.46%,95,97.15%,1.26%,-6.67%,-1.00,3.98%,-13.44%
83,front raise kneeling alternating with resting arm down,MVP,716,5,2.00%,80.00%,100.00%,1,-0.2,97.59%,50,93.61%,-1.50%,2.00%,0.00,2.38%,2.00%
84,front raise kneeling both arms,MVP,718,10,1.00%,90.00%,100.00%,1,-0.1,98.12%,104,98.65%,-0.61%,0.00%,0.00,3.26%,-2.43%
85,front raise kneeling single arm with resting arm down,MVP,719,12,4.03%,50.00%,91.67%,1,0.08333333333,97.01%,220,94.27%,0.38%,-2.46%,0.00,1.12%,0.42%
86,front raise standing alternating with resting arm down,MVP,731,16,4.93%,62.50%,93.75%,1,-0.375,97.43%,167,93.76%,0.03%,3.96%,0.00,2.09%,2.08%
87,front raise standing alternating with resting arm up,List A,728,12,9.17%,33.33%,91.67%,1,0.25,98.80%,121,90.77%,-0.84%,0.00%,0.00,1.38%,-5.00%
88,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.1333333333,98.90%,142,98.78%,0.30%,0.00%,0.00,1.35%,0.00%
89,front raise standing single arm with resting arm down,MVP,730,11,8.64%,45.45%,90.91%,1,-1.363636364,98.55%,209,92.61%,0.04%,0.00%,0.00,0.81%,1.34%
90,front raise standing single arm with resting arm up,List A,727,11,22.28%,18.18%,72.73%,0,2.090909091,94.40%,152,94.15%,-0.39%,4.30%,-1.00,-0.66%,4.36%
91,front to back lunge arms by side,List A,1164,6,15.21%,33.33%,66.67%,0,1.333333333,95.16%,66,85.33%,0.66%,3.30%,0.00,0.99%,9.65%
92,front to back lunge weights hanging,List A,1169,16,6.98%,31.25%,75.00%,1,-0.6875,96.69%,261,89.11%,0.97%,0.30%,0.00,6.85%,-7.93%
93,front to back lunge with rotation,List A,1163,11,31.59%,36.36%,54.55%,0,0.7272727273,96.17%,166,94.22%,-0.73%,8.28%,0.00,4.42%,13.76%
94,hand release pushup on knees,List A,304,16,3.73%,75.00%,93.75%,1,0.3125,98.06%,125,93.33%,2.16%,0.18%,2.00,2.82%,1.37%
95,hand release pushup on knees arms extended,List A,1503,6,16.41%,50.00%,83.33%,0,-1.166666667,98.20%,66,83.81%,-0.19%,1.67%,0.00,1.82%,1.66%
96,hand release pushup on toes,List A,594,13,3.08%,84.62%,100.00%,1,0.1538461538,96.41%,66,94.66%,-0.58%,1.08%,3.00,1.65%,1.41%
97,hand release pushup on toes arms extended,List A,1502,5,18.33%,60.00%,60.00%,0,-2,98.50%,54,93.64%,-0.26%,1.67%,0.00,1.08%,-1.67%
98,hip bridge repping hands bent at 90,List A,599,19,6.12%,84.21%,94.74%,1,-0.6842105263,100.00%,199,77.74%,0.00%,0.86%,0.00,0.00%,0.86%
99,lateral lunge alternating single dumbbell,MVP,749,15,6.61%,66.67%,93.33%,1,0.2,95.86%,150,94.94%,-0.17%,-0.67%,0.00,1.55%,3.20%
100,lateral lunge arms by side,MVP,740,20,1.13%,90.00%,100.00%,1,0,91.61%,196,95.50%,4.02%,-0.88%,0.00,0.63%,-2.51%
101,lateral lunge arms by side dumbbell,MVP,750,11,4.60%,63.64%,90.91%,1,-0.09090909091,93.83%,104,96.37%,2.68%,-0.15%,0.00,3.94%,-4.54%
102,lateral lunge arms straight out,MVP,737,7,4.29%,71.43%,85.71%,1,0.4285714286,90.84%,70,89.48%,1.51%,0.00%,0.00,2.66%,2.86%
103,lateral lunge hands on head,MVP,738,6,0.00%,100.00%,100.00%,1,0,96.86%,59,89.61%,1.72%,0.00%,0.00,2.18%,-1.67%
104,lateral lunge hands on hips,MVP,739,11,11.36%,81.82%,81.82%,0,0.2727272727,91.34%,101,94.91%,1.44%,2.27%,0.00,1.06%,-1.24%
105,lateral lunge left,MVP,319,8,7.20%,50.00%,87.50%,1,-0.375,94.65%,62,91.72%,5.43%,1.39%,0.00,2.39%,3.17%
106,lateral lunge swing to arms overhead,MVP,746,8,3.64%,62.50%,100.00%,1,0.375,93.91%,82,95.94%,0.90%,0.00%,0.00,1.59%,-1.25%
107,lateral lunge weights racked,MVP,751,18,2.28%,77.78%,100.00%,1,-0.1111111111,99.40%,179,80.92%,0.42%,-0.51%,0.00,0.57%,-1.67%
108,lateral lunge with runners arms,MVP,744,8,0.89%,87.50%,100.00%,1,0.125,97.98%,89,94.49%,6.29%,0.89%,0.00,1.83%,-0.36%
109,lateral raise kneeling alternating with resting arm down,MVP,770,3,5.92%,33.33%,100.00%,1,0.6666666667,96.41%,37,96.82%,0.77%,0.00%,0.00,17.54%,4.17%
110,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0,99.19%,54,97.34%,1.04%,0.00%,0.00,6.46%,0.00%
111,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.2857142857,99.42%,66,97.78%,0.64%,0.00%,0.00,3.16%,0.00%
112,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,0.00%,100.00%,100.00%,1,0,99.50%,121,94.67%,0.02%,-1.04%,0.00,0.11%,-0.93%
113,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,1.56%,76.92%,100.00%,1,0.2307692308,99.52%,205,91.00%,-0.10%,1.17%,0.00,2.78%,-2.33%
114,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0,99.68%,138,97.25%,-0.24%,0.00%,0.00,1.87%,0.00%
115,lateral raise kneeling single arm with resting arm down,MVP,773,6,0.00%,100.00%,100.00%,1,0,99.33%,89,95.41%,0.62%,0.00%,0.00,12.88%,-8.71%
116,lateral raise standing alternating with resting arm down,MVP,780,8,0.00%,100.00%,100.00%,1,0,97.69%,78,94.46%,0.99%,0.00%,0.00,3.23%,0.00%
117,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0,97.99%,161,97.74%,-0.55%,0.00%,0.00,-0.39%,0.00%
118,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.1428571429,99.64%,75,97.89%,0.64%,0.00%,0.00,0.56%,0.00%
119,lateral raise standing single arm with resting arm down,MVP,779,6,3.33%,50.00%,100.00%,1,0.5,99.40%,96,97.43%,0.91%,0.83%,0.00,1.88%,0.00%
120,neutral grip chest press hook lying both arms,MVP,1212,19,10.99%,73.68%,89.47%,0,-0.7368421053,94.69%,202,78.80%,-5.14%,4.61%,0.00,1.35%,-2.32%
121,neutral grip chest press table top alternating with resting arm up,List A,1228,11,16.53%,36.36%,63.64%,0,-0.8181818182,100.00%,114,77.16%,0.00%,5.12%,0.00,0.59%,3.55%
122,neutral grip chest press table top both arms,MVP,1229,8,0.00%,100.00%,100.00%,1,0,99.94%,80,86.27%,-0.06%,0.00%,0.00,0.07%,0.00%
123,overhead extension kneeling both arms,MVP,805,16,5.26%,50.00%,93.75%,1,0.1875,99.77%,170,91.06%,0.08%,-0.63%,0.00,0.23%,-5.04%
124,overhead extension kneeling lunge right one dumbbell,MVP,787,18,10.61%,50.00%,77.78%,0,0.3333333333,100.00%,186,85.08%,0.02%,0.51%,0.00,0.31%,-0.65%
125,overhead extension kneeling one dumbbell,MVP,786,9,6.72%,44.44%,77.78%,1,-0.1111111111,100.00%,113,91.17%,0.00%,1.11%,0.00,0.00%,-3.84%
126,overhead extension kneeling right lunge both arms,MVP,799,19,8.11%,52.63%,89.47%,1,-0.2105263158,99.81%,186,83.19%,0.48%,1.40%,0.00,0.97%,0.36%
127,overhead extension kneeling single arm with resting arm down,MVP,802,18,3.04%,61.11%,100.00%,1,0.05555555556,99.91%,262,88.90%,0.09%,-1.64%,0.00,0.26%,-0.65%
128,overhead extension standing alternating with resting arm down,MVP,812,6,12.32%,16.67%,83.33%,0,0.1666666667,99.00%,55,93.78%,0.20%,0.00%,0.00,0.40%,5.54%
129,overhead extension standing both arms,MVP,810,10,12.35%,40.00%,80.00%,0,1,99.23%,101,70.80%,0.17%,0.79%,0.00,0.69%,0.97%
130,overhead extension standing one dumbbell,MVP,807,19,16.54%,42.11%,73.68%,0,-1.157894737,99.56%,197,79.88%,0.52%,-0.77%,1.00,0.36%,-4.39%
131,overhead extension standing single arm,MVP,811,19,4.76%,52.63%,84.21%,1,0.05263157895,97.84%,307,86.07%,0.95%,-0.87%,0.00,-0.04%,-1.84%
132,overhead press kneeling alternating resting arm down,MVP,831,18,1.67%,83.33%,100.00%,1,0.05555555556,98.91%,184,98.11%,0.71%,0.56%,0.00,0.67%,-1.01%
133,overhead press kneeling both arms,MVP,835,18,2.54%,72.22%,100.00%,1,0.05555555556,98.13%,192,93.80%,1.56%,1.11%,0.00,0.53%,-1.10%
134,overhead press kneeling single arm,List A,836,18,11.39%,61.11%,77.78%,0,-1.277777778,96.77%,349,93.93%,-0.62%,-0.50%,0.00,3.56%,-5.93%
135,overhead press kneeling single arm with resting arm down,MVP,832,20,6.17%,60.00%,80.00%,1,0.5,96.67%,198,95.65%,-1.12%,0.56%,0.00,2.15%,0.06%
136,overhead press standing alternating with resting arm down,MVP,841,20,5.34%,70.00%,90.00%,1,-0.2,96.76%,197,84.11%,0.77%,2.00%,0.00,0.49%,-0.50%
137,overhead press standing alternating with resting arm up,List A,837,19,14.24%,31.58%,78.95%,0,-0.4736842105,97.53%,198,78.32%,0.30%,0.64%,0.00,-1.12%,3.28%
138,overhead press standing both arms,MVP,839,19,1.05%,89.47%,100.00%,1,0,96.15%,179,90.50%,-0.08%,-1.17%,0.00,-0.64%,-0.59%
139,overhead press standing single arm,MVP,840,20,0.97%,80.00%,100.00%,1,0.1,98.07%,401,96.23%,0.43%,-0.52%,0.00,0.21%,-0.74%
140,overhead press standing single arm with resting arm down,MVP,842,19,3.16%,73.68%,94.74%,1,0.3157894737,94.43%,190,97.97%,-0.21%,0.00%,0.00,-1.72%,-1.58%
141,overhead press wide kneeling alternating resting arm down,MVP,1498,5,1.67%,80.00%,100.00%,1,-0.2,96.20%,60,94.24%,-3.80%,1.67%,0.00,3.37%,-1.66%
142,overhead press wide kneeling both arms,MVP,1500,5,2.00%,80.00%,100.00%,1,-0.2,96.69%,50,76.53%,-1.76%,0.00%,0.00,-2.79%,-8.00%
143,overhead press wide kneeling single arm,MVP,1501,5,10.00%,60.00%,80.00%,0,-0.2,100.00%,30,82.17%,0.00%,6.67%,0.00,5.40%,10.00%
144,overhead press wide standing alternating with resting arm down,MVP,1493,8,0.00%,100.00%,100.00%,1,0,100.00%,96,95.96%,0.77%,0.00%,0.00,0.00%,-2.08%
145,overhead press wide standing both arms,MVP,1495,3,0.00%,100.00%,100.00%,1,0,99.49%,30,93.17%,0.48%,-3.33%,0.00,0.32%,0.00%
146,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0,98.46%,32,80.66%,-0.32%,0.00%,0.00,-0.53%,0.00%
147,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.2666666667,99.78%,133,68.63%,0.00%,0.00%,0.00,0.00%,0.00%
148,pike pushup on toes,List A,851,13,4.24%,69.23%,92.31%,1,-0.3846153846,100.00%,117,66.77%,0.00%,2.70%,0.00,0.00%,4.24%
149,punches alternating heels planted,List A,1084,9,20.18%,44.44%,55.56%,0,-3,100.00%,120,79.35%,3.12%,1.20%,-2.00,11.08%,2.69%
150,push press single arm,List A,1242,13,3.18%,61.54%,76.92%,1,0.6153846154,97.84%,218,95.92%,0.98%,-0.23%,1.00,9.62%,-3.68%
151,push press standing both arms,List A,1241,20,4.33%,80.00%,85.00%,1,-0.1,96.47%,185,96.21%,-0.41%,1.28%,0.00,12.03%,-10.39%
152,pushup jack at bottom,List A,963,13,5.71%,76.92%,92.31%,1,-0.3846153846,97.38%,72,81.28%,2.82%,3.03%,-1.00,8.76%,-7.03%
153,pushup on knees,MVP,328,15,6.96%,73.33%,93.33%,1,-1,99.15%,180,75.41%,0.06%,-0.44%,0.00,0.69%,0.45%
154,pushup on toes,MVP,856,11,9.64%,81.82%,81.82%,1,-0.7272727273,92.36%,100,85.31%,3.47%,1.29%,-2.00,-1.93%,4.84%
155,reverse fly on knees both arms,MVP,1253,18,2.38%,94.44%,94.44%,1,0.1666666667,98.81%,188,87.52%,0.17%,-3.84%,0.00,2.46%,-6.10%
156,reverse fly split stance both arms,MVP,1256,14,4.78%,35.71%,71.43%,1,0.9285714286,96.08%,248,88.10%,0.86%,0.03%,0.00,1.43%,-3.49%
157,reverse fly standing bent over alternating,MVP,1251,11,17.12%,45.45%,54.55%,0,-1.727272727,98.66%,128,71.90%,0.22%,-0.25%,0.00,3.79%,6.39%
158,reverse fly standing bent over both arms,MVP,1250,18,1.67%,88.89%,94.44%,1,-0.05555555556,99.61%,194,89.54%,0.05%,0.00%,0.00,0.04%,-10.35%
159,reverse lunge alternating,MVP,871,10,1.00%,90.00%,100.00%,1,0.1,98.40%,119,94.37%,0.87%,1.00%,0.00,0.66%,-0.43%
160,reverse lunge alternating single dumbbell pass through,List A,872,7,2.53%,71.43%,100.00%,1,0.2857142857,97.07%,77,94.75%,0.62%,1.43%,0.00,0.59%,1.10%
161,reverse lunge arms by side,MVP,881,18,6.24%,61.11%,94.44%,1,-0.1111111111,97.81%,197,87.83%,0.86%,-0.41%,0.00,2.49%,-1.62%
162,reverse lunge arms by side dumbbell,MVP,890,13,0.90%,92.31%,92.31%,1,0.1538461538,99.24%,144,89.65%,0.39%,-3.75%,0.00,2.48%,-1.75%
163,reverse lunge arms overhead,MVP,883,19,1.05%,89.47%,100.00%,1,0,98.17%,209,94.78%,0.02%,0.00%,0.00,-0.84%,-4.40%
164,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0,99.68%,52,95.37%,1.17%,0.00%,0.00,1.33%,-2.00%
