,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v5,n_sets delta w/ hydra_v5,is_FA delta w/ hydra_v5,signal_score delta w/ hydra_v5_variation
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.23,97.96%,128,95.31%,0.00%,0,0.13%,0.00%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,18.18%,66.67%,66.67%,0,2.00,98.37%,34,94.82%,0.00%,0,0.58%,-0.18%
30,bodyweight sumo squat arms overhead,MVP,1629,5,13.09%,60.00%,60.00%,0,-1.40,96.42%,51,71.36%,4.00%,0,5.35%,-12.70%
31,bodyweight sumo squat arms straight out,MVP,1630,5,0.00%,100.00%,100.00%,1,0.00,98.23%,55,89.17%,-3.64%,0,4.92%,-0.18%
32,bodyweight sumo squat arms swinging,MVP,1631,5,0.00%,100.00%,100.00%,1,0.00,92.67%,56,94.99%,0.00%,1,0.15%,0.82%
33,bodyweight sumo squat hands centered,MVP,1632,5,0.00%,100.00%,100.00%,1,0.00,96.45%,50,79.10%,0.00%,0,0.89%,-0.74%
34,bodyweight sumo squat hands on head,MVP,1633,5,12.00%,60.00%,80.00%,0,-1.20,81.10%,52,78.30%,-18.00%,0,12.58%,-7.25%
35,bridging clamshells,List A,543,6,4.17%,83.33%,100.00%,1,0.17,100.00%,41,70.04%,0.00%,0,0.00%,0.00%
36,broad jump with back pedal,List A,1035,18,27.96%,38.89%,61.11%,0,3.44,99.66%,222,77.97%,0.00%,0,0.22%,0.06%
37,broad jump with jump back,List A,1037,7,20.15%,28.57%,57.14%,0,0.57,91.34%,51,54.47%,-6.12%,0,2.30%,-0.04%
38,burpee chest to the ground,MVP,664,18,7.04%,72.22%,94.44%,1,0.22,93.86%,98,83.85%,0.00%,0,0.71%,-1.28%
39,burpee from plank,MVP,665,16,2.48%,87.50%,93.75%,1,-0.19,92.94%,88,78.51%,-0.69%,0,1.04%,-1.32%
40,burpee with pushup,MVP,666,17,17.35%,41.18%,82.35%,0,-0.76,94.95%,109,59.55%,0.78%,0,0.69%,-2.10%
41,chest fly standing both arms,MVP,1050,8,4.48%,50.00%,100.00%,1,0.50,97.40%,81,98.40%,0.00%,0,1.28%,-0.01%
42,chest fly standing staggered both arms,MVP,1051,12,5.11%,50.00%,91.67%,1,0.42,97.35%,138,97.68%,3.52%,0,2.50%,0.27%
43,clamshells from laying,List A,587,17,8.90%,70.59%,76.47%,1,-0.71,98.94%,201,65.24%,0.00%,0,0.40%,-0.10%
44,clean both arms hang,List A,1058,20,8.33%,70.00%,90.00%,1,0.80,98.28%,193,91.57%,0.00%,0,3.46%,-0.11%
45,clean single arm alternating,List A,1060,16,6.82%,81.25%,93.75%,1,0.69,97.92%,160,95.84%,0.00%,0,1.84%,-0.06%
46,concentrated curl kneeling lunge,List A,1030,18,8.91%,38.89%,72.22%,1,0.89,97.42%,183,79.08%,-0.35%,0,0.61%,-0.55%
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,2.79%,81.25%,93.75%,1,-0.31,92.75%,169,95.10%,0.00%,0,1.27%,-0.04%
48,cross body curl standing alternating with resting arm down,MVP,592,16,2.81%,87.50%,87.50%,1,0.06,94.87%,160,92.02%,2.29%,0,2.41%,-0.34%
49,cross body curl standing single arm with resting arm down,MVP,593,10,9.79%,60.00%,90.00%,1,-1.80,95.88%,196,96.39%,0.00%,0,0.46%,0.00%
50,crunch arms above you,List A,1082,18,8.51%,66.67%,77.78%,1,-0.67,99.98%,195,59.85%,-0.51%,0,0.51%,0.00%
51,crunch arms overhead,List A,1081,18,4.83%,72.22%,94.44%,1,0.11,99.05%,178,64.84%,0.00%,0,0.00%,0.00%
52,crunch table top,List A,1083,18,9.34%,50.00%,83.33%,1,-0.33,99.75%,191,27.93%,0.00%,0,0.00%,0.00%
53,deadlift arms by side,MVP,671,15,6.96%,80.00%,86.67%,1,-0.67,87.44%,143,89.77%,0.00%,0,3.52%,-1.23%
54,deadlift arms straight out,MVP,672,15,6.07%,80.00%,86.67%,1,-0.47,94.12%,144,94.32%,0.00%,0,1.93%,-0.03%
55,deadlift hands on hips,MVP,673,15,4.07%,86.67%,93.33%,1,-0.27,89.98%,151,94.94%,-0.74%,0,1.23%,-0.22%
56,deadlift romanian,MVP,675,10,1.68%,80.00%,100.00%,1,0.20,90.63%,98,98.80%,1.68%,0,4.33%,-0.04%
57,deadlift single dumbbell,MVP,676,9,9.64%,44.44%,77.78%,1,-1.22,93.38%,128,97.23%,1.11%,0,1.43%,-0.01%
58,deadlift suitcase,MVP,677,7,9.09%,85.71%,85.71%,1,-1.00,94.22%,72,97.43%,0.00%,0,0.96%,0.00%
59,diagonal chop bodyweight,List A,1065,16,10.64%,56.25%,87.50%,0,0.88,95.53%,318,89.61%,0.28%,0,0.75%,-0.07%
60,dumbbell pass through on knees,List A,1141,17,13.52%,29.41%,64.71%,0,0.18,98.16%,174,59.84%,-3.73%,0,4.46%,-0.15%
61,dumbbell pass through on toes,List A,1142,19,15.93%,31.58%,52.63%,0,0.21,95.76%,190,63.03%,-1.05%,0,3.69%,1.79%
62,dumbbell push up on knees,MVP,1530,5,5.71%,80.00%,80.00%,1,0.40,98.04%,44,88.14%,-2.00%,0,4.73%,-7.81%
63,dumbbell push up on toes,MVP,1529,4,0.00%,100.00%,100.00%,1,0.00,97.59%,40,94.77%,0.00%,0,2.33%,-1.05%
64,dumbbell swing alternating single arm passing dumbbell,List A,679,16,10.44%,31.25%,81.25%,0,-0.56,96.85%,178,89.92%,0.48%,0,1.70%,-0.04%
65,dumbbell swing both arms single dumbbell,List A,681,19,6.13%,52.63%,89.47%,1,0.11,96.32%,201,95.46%,-1.05%,0,1.86%,0.17%
66,dumbbell swing suitcase,List A,687,10,5.00%,50.00%,100.00%,1,0.10,90.88%,107,92.77%,-0.67%,0,0.91%,-0.16%
67,dumbbell thruster alternating,MVP,689,14,11.72%,57.14%,71.43%,0,-1.29,97.43%,168,98.27%,0.00%,0,1.05%,0.00%
68,dumbbell thruster classic,MVP,688,12,1.67%,83.33%,100.00%,1,0.17,97.27%,121,98.54%,0.00%,0,0.68%,0.00%
69,dumbbell thruster to rotational press both arms,MVP,691,10,2.00%,90.00%,90.00%,1,0.20,98.03%,99,92.93%,0.00%,0,1.04%,-0.06%
70,french doors kneeling alternating with resting arm in,MVP,1319,12,5.62%,58.33%,91.67%,1,-0.25,97.23%,123,58.50%,0.83%,0,1.43%,-1.58%
71,french doors kneeling both arms,MVP,1145,11,0.91%,90.91%,100.00%,1,0.09,98.12%,111,75.01%,-0.76%,0,0.83%,-1.00%
72,french doors standing alternating with resting arm in,MVP,1320,20,1.83%,85.00%,100.00%,1,0.05,99.21%,198,57.61%,0.00%,0,0.38%,-0.05%
73,french doors standing both arms,MVP,1148,20,1.92%,80.00%,100.00%,1,0.10,99.43%,211,80.22%,0.50%,0,0.74%,-0.06%
74,french doors standing single arm,MVP,1149,14,0.42%,92.86%,100.00%,1,0.07,99.21%,245,67.42%,0.00%,0,0.44%,-0.24%
75,front lunge arms by side,MVP,700,8,4.58%,62.50%,75.00%,1,-0.63,95.13%,92,75.20%,-3.75%,0,2.36%,-7.08%
76,front lunge arms out laterally,MVP,704,7,8.57%,57.14%,85.71%,1,0.57,95.56%,73,81.47%,4.29%,0,6.30%,-1.76%
77,front lunge arms overhead,MVP,702,8,5.00%,87.50%,87.50%,1,-0.50,97.80%,80,84.34%,0.00%,0,2.63%,-2.43%
78,front lunge arms straight out,MVP,701,12,4.65%,66.67%,83.33%,1,-0.17,88.72%,120,95.22%,0.00%,0,4.37%,-1.50%
79,front lunge hands on hips,MVP,705,8,2.64%,75.00%,100.00%,1,0.00,96.30%,79,82.29%,-1.25%,0,1.47%,-3.75%
80,front lunge runner arms,MVP,707,14,0.99%,85.71%,100.00%,1,0.00,96.52%,151,95.58%,-1.19%,0,2.40%,-0.12%
81,front lunge weights hanging,MVP,708,14,0.00%,100.00%,100.00%,1,0.00,97.34%,139,97.38%,-0.71%,0,2.27%,-0.03%
82,front lunge weights racked,MVP,710,12,2.50%,83.33%,91.67%,1,-0.25,97.38%,119,96.90%,0.00%,0,1.98%,0.00%
83,front lunge with curl,List A,706,9,1.11%,88.89%,100.00%,1,0.11,93.07%,95,97.38%,0.00%,0,2.49%,-0.05%
84,front raise kneeling alternating with resting arm down,MVP,716,5,2.00%,80.00%,100.00%,1,0.20,99.01%,50,96.76%,0.00%,0,1.36%,0.00%
85,front raise kneeling both arms,MVP,718,10,3.00%,70.00%,100.00%,1,0.10,99.20%,104,99.04%,-0.71%,0,1.66%,-0.05%
86,front raise kneeling single arm with resting arm down,MVP,719,12,3.99%,50.00%,83.33%,1,0.17,95.77%,220,93.96%,0.79%,0,1.17%,-0.61%
87,front raise standing alternating with resting arm down,MVP,731,16,4.31%,68.75%,93.75%,1,-0.44,96.95%,167,96.68%,0.00%,0,1.40%,-0.06%
88,front raise standing alternating with resting arm up,List A,728,12,12.50%,25.00%,83.33%,0,0.75,99.64%,121,89.11%,-0.83%,0,0.84%,-2.69%
89,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.13,98.27%,142,99.20%,0.00%,0,0.97%,0.00%
90,front raise standing single arm with resting arm down,MVP,730,11,7.27%,72.73%,90.91%,1,-1.27,96.94%,209,96.11%,-2.27%,0,2.20%,-0.10%
91,front raise standing single arm with resting arm up,List A,727,12,23.66%,25.00%,58.33%,0,2.50,93.68%,173,96.65%,0.00%,0,0.42%,-0.02%
92,front to back lunge arms by side,List A,1164,6,11.44%,33.33%,83.33%,0,0.33,94.42%,66,85.10%,0.00%,0,1.60%,-2.69%
93,front to back lunge weights hanging,List A,1169,19,7.06%,52.63%,63.16%,1,-1.00,93.37%,319,91.69%,-0.12%,0,3.40%,-2.00%
94,front to back lunge with rotation,List A,1163,11,23.76%,45.45%,72.73%,0,-0.09,94.82%,166,93.38%,0.00%,0,2.84%,-0.12%
95,hand release pushup on knees,List A,304,16,5.05%,68.75%,87.50%,1,0.44,96.82%,125,95.19%,1.32%,0,2.04%,0.16%
96,hand release pushup on knees arms extended,List A,1503,6,16.82%,66.67%,83.33%,0,-1.83,99.02%,66,5.54%,-1.67%,0,0.28%,-1.04%
97,hand release pushup on toes,List A,594,13,3.08%,84.62%,100.00%,1,0.15,93.27%,66,92.63%,0.00%,0,2.01%,0.59%
98,hand release pushup on toes arms extended,List A,1502,5,27.00%,60.00%,60.00%,0,-3.00,98.42%,54,5.80%,-1.82%,0,1.02%,-3.51%
99,hip bridge repping hands bent at 90,List A,599,20,0.91%,95.00%,95.00%,1,0.10,100.00%,209,84.08%,0.00%,0,0.00%,0.00%
100,lateral lunge alternating single dumbbell,MVP,749,15,6.15%,53.33%,93.33%,1,0.13,90.71%,150,88.13%,0.28%,1,2.26%,-0.02%
101,lateral lunge arms by side,MVP,740,20,5.13%,80.00%,95.00%,1,-0.40,85.15%,196,96.48%,-0.27%,1,1.79%,-0.59%
102,lateral lunge arms by side dumbbell,MVP,750,11,7.47%,63.64%,81.82%,1,-0.55,88.46%,104,97.86%,-1.67%,0,3.56%,-0.08%
103,lateral lunge arms straight out,MVP,737,7,4.44%,57.14%,100.00%,1,-0.14,84.92%,70,80.83%,1.43%,0,3.56%,-1.84%
104,lateral lunge hands on head,MVP,738,6,0.00%,100.00%,100.00%,1,0.00,93.61%,59,70.91%,0.00%,0,4.56%,-6.41%
105,lateral lunge hands on hips,MVP,739,12,12.38%,75.00%,83.33%,0,0.25,90.40%,111,95.36%,0.00%,0,2.07%,-0.13%
106,lateral lunge left,MVP,319,8,4.03%,62.50%,100.00%,1,-0.38,90.74%,62,83.13%,-1.79%,0,3.42%,-0.64%
107,lateral lunge swing to arms overhead,MVP,746,8,4.89%,50.00%,100.00%,1,0.25,90.46%,82,95.90%,-1.25%,0,2.57%,-0.14%
108,lateral lunge weights racked,MVP,751,18,2.28%,77.78%,100.00%,1,-0.11,97.73%,179,69.44%,-3.61%,1,2.51%,-4.34%
109,lateral lunge with runners arms,MVP,744,8,0.00%,100.00%,100.00%,1,0.00,81.94%,89,90.76%,-3.57%,0,3.12%,-0.36%
110,lateral raise kneeling alternating with resting arm down,MVP,770,3,5.92%,33.33%,100.00%,1,0.67,95.21%,37,97.81%,0.00%,0,7.54%,-0.04%
111,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0.00,96.79%,54,98.26%,0.00%,0,5.12%,-0.07%
112,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.29,97.26%,66,97.69%,0.00%,0,1.90%,0.00%
113,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,1.04%,91.67%,100.00%,1,0.08,99.38%,121,97.05%,0.00%,0,0.30%,-0.03%
114,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,1.17%,76.92%,100.00%,1,0.08,99.53%,205,96.22%,0.40%,0,1.53%,-0.01%
115,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0.00,99.15%,138,98.20%,0.00%,0,0.19%,0.00%
116,lateral raise kneeling single arm with resting arm down,MVP,773,6,0.00%,100.00%,100.00%,1,0.00,98.19%,89,96.79%,0.00%,0,1.93%,-0.01%
117,lateral raise standing alternating with resting arm down,MVP,780,8,1.25%,87.50%,100.00%,1,-0.13,93.16%,78,94.78%,-2.53%,0,1.87%,-0.10%
118,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0.00,97.08%,161,98.59%,0.00%,0,1.55%,-0.01%
119,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.14,97.56%,75,97.96%,0.00%,0,2.31%,-0.01%
120,lateral raise standing single arm with resting arm down,MVP,779,6,3.33%,50.00%,100.00%,1,0.50,98.27%,96,97.88%,0.00%,0,1.53%,0.00%
121,neutral grip chest press hook lying both arms,MVP,1212,19,7.60%,78.95%,84.21%,1,-0.47,96.45%,202,87.50%,0.00%,0,3.05%,0.80%
122,neutral grip chest press table top alternating with resting arm up,List A,1228,11,11.32%,45.45%,72.73%,0,-0.64,99.79%,114,71.25%,0.91%,0,0.65%,-0.20%
123,neutral grip chest press table top both arms,MVP,1229,8,0.00%,100.00%,100.00%,1,0.00,99.87%,80,78.81%,0.00%,0,0.00%,0.00%
124,overhead extension kneeling both arms,MVP,805,16,8.43%,18.75%,93.75%,1,0.63,99.82%,170,96.31%,0.00%,0,0.06%,0.00%
125,overhead extension kneeling lunge right one dumbbell,MVP,787,18,11.83%,44.44%,88.89%,0,0.56,99.85%,186,87.02%,0.00%,0,0.29%,0.00%
126,overhead extension kneeling one dumbbell,MVP,786,9,10.50%,22.22%,77.78%,0,0.22,100.00%,113,89.10%,0.00%,0,0.00%,0.00%
127,overhead extension kneeling right lunge both arms,MVP,799,19,6.01%,47.37%,94.74%,1,0.47,99.02%,186,86.50%,-0.35%,0,0.81%,0.00%
128,overhead extension kneeling single arm with resting arm down,MVP,802,18,0.97%,83.33%,94.44%,1,-0.11,99.91%,262,94.96%,0.00%,0,0.06%,0.00%
129,overhead extension standing alternating with resting arm down,MVP,812,6,0.00%,100.00%,100.00%,1,0.00,99.22%,55,94.00%,0.00%,0,0.00%,0.00%
130,overhead extension standing both arms,MVP,810,11,13.30%,36.36%,72.73%,0,1.09,99.24%,111,73.45%,0.00%,0,0.03%,-0.01%
131,overhead extension standing one dumbbell,MVP,807,20,16.81%,45.00%,70.00%,0,-0.40,99.05%,220,87.72%,0.00%,0,0.44%,-0.11%
132,overhead extension standing single arm,MVP,811,19,6.64%,42.11%,68.42%,1,1.05,97.50%,307,94.68%,0.05%,0,1.09%,-0.03%
133,overhead press kneeling alternating resting arm down,MVP,831,18,2.17%,77.78%,100.00%,1,0.00,98.24%,184,98.39%,0.56%,0,3.30%,-0.05%
134,overhead press kneeling both arms,MVP,835,18,2.63%,77.78%,94.44%,1,-0.06,95.75%,192,94.35%,0.05%,0,2.08%,-0.02%
135,overhead press kneeling single arm,List A,836,20,11.49%,60.00%,85.00%,0,-0.65,94.79%,379,88.02%,-1.29%,0,3.56%,-1.05%
136,overhead press kneeling single arm with resting arm down,MVP,832,20,3.06%,80.00%,95.00%,1,0.00,91.81%,198,93.22%,0.00%,0,5.00%,-0.18%
137,overhead press standing alternating with resting arm down,MVP,841,20,2.46%,75.00%,100.00%,1,-0.05,94.58%,197,85.68%,-0.05%,0,2.95%,0.00%
138,overhead press standing alternating with resting arm up,List A,837,19,11.27%,26.32%,89.47%,0,0.00,96.45%,198,81.22%,1.58%,0,2.42%,0.09%
139,overhead press standing both arms,MVP,839,19,1.58%,89.47%,94.74%,1,-0.05,93.20%,179,91.12%,-6.43%,0,4.79%,0.00%
140,overhead press standing single arm,MVP,840,20,1.53%,70.00%,100.00%,1,0.10,96.70%,401,97.91%,0.00%,0,1.37%,-0.01%
141,overhead press standing single arm with resting arm down,MVP,842,19,2.11%,78.95%,100.00%,1,0.21,91.33%,190,98.69%,0.00%,0,2.22%,0.00%
142,overhead press wide kneeling alternating resting arm down,MVP,1498,5,0.00%,100.00%,100.00%,1,0.00,99.33%,60,88.84%,0.00%,0,1.54%,0.56%
143,overhead press wide kneeling both arms,MVP,1500,5,0.00%,100.00%,100.00%,1,0.00,97.53%,50,79.45%,0.00%,0,0.99%,-0.08%
144,overhead press wide kneeling single arm,MVP,1501,5,13.33%,60.00%,80.00%,0,-0.80,83.01%,30,78.71%,-10.00%,0,4.62%,19.34%
145,overhead press wide standing alternating with resting arm down,MVP,1493,8,2.08%,75.00%,100.00%,1,0.00,98.84%,96,95.63%,0.00%,0,1.20%,-0.02%
146,overhead press wide standing both arms,MVP,1495,3,0.00%,100.00%,100.00%,1,0.00,95.54%,30,96.79%,-6.67%,0,7.16%,-0.50%
147,overhead press wide standing single arm,MVP,1496,6,6.55%,66.67%,83.33%,1,-0.50,87.67%,43,83.09%,-6.55%,0,5.81%,3.88%
148,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0.00,96.46%,32,79.60%,0.00%,0,0.39%,0.00%
149,pike pushup on knees,List A,335,15,2.67%,86.67%,93.33%,1,-0.27,99.78%,133,71.47%,0.00%,0,0.00%,0.00%
150,pike pushup on toes,List A,851,13,3.46%,84.62%,92.31%,1,0.38,100.00%,117,63.74%,0.00%,0,0.00%,0.00%
151,punches alternating heels planted,List A,1084,11,15.86%,36.36%,63.64%,0,-1.00,97.01%,146,84.10%,0.00%,0,0.39%,0.00%
152,push press single arm,List A,1242,13,13.43%,46.15%,46.15%,0,-2.00,71.03%,218,93.80%,-9.73%,0,6.85%,5.36%
153,push press standing both arms,List A,1241,20,61.62%,10.00%,10.00%,0,-5.85,36.90%,185,70.44%,-7.38%,0,8.89%,14.18%
154,pushup jack at bottom,List A,963,16,4.11%,81.25%,93.75%,1,0.13,96.39%,86,85.45%,-5.47%,0,10.01%,2.33%
155,pushup on knees,MVP,328,15,8.01%,66.67%,93.33%,1,-0.93,98.53%,180,74.95%,-1.29%,0,9.05%,-8.65%
156,pushup on toes,MVP,856,13,9.86%,69.23%,84.62%,1,-0.77,87.62%,121,91.38%,0.26%,0,5.19%,-0.53%
157,reverse fly on knees both arms,MVP,1253,19,5.32%,68.42%,89.47%,1,0.37,98.52%,198,90.08%,-0.38%,0,2.44%,-1.82%
158,reverse fly split stance both arms,MVP,1256,14,5.99%,28.57%,64.29%,1,1.00,95.70%,248,89.08%,0.40%,0,3.03%,-2.52%
159,reverse fly standing bent over alternating,MVP,1251,11,17.00%,36.36%,45.45%,0,-1.64,97.07%,128,67.11%,-2.64%,0,4.08%,2.17%
160,reverse fly standing bent over both arms,MVP,1250,18,1.94%,83.33%,94.44%,1,-0.11,99.78%,194,93.10%,0.00%,0,0.57%,0.00%
161,reverse lunge alternating,MVP,871,10,0.00%,100.00%,100.00%,1,0.00,97.82%,119,96.05%,0.00%,0,2.34%,0.00%
162,reverse lunge alternating single dumbbell pass through,List A,872,8,2.21%,75.00%,100.00%,1,0.00,96.86%,88,93.80%,0.00%,0,0.94%,-0.02%
163,reverse lunge arms by side,MVP,881,18,5.86%,66.67%,88.89%,1,-0.22,96.81%,197,92.22%,0.88%,0,1.75%,-0.04%
164,reverse lunge arms by side dumbbell,MVP,890,13,2.46%,84.62%,92.31%,1,0.31,98.46%,144,87.67%,0.00%,0,1.85%,-2.03%
165,reverse lunge arms overhead,MVP,883,19,0.53%,94.74%,100.00%,1,-0.05,98.88%,209,94.50%,0.00%,0,1.00%,-0.01%
166,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0.00,97.96%,52,95.67%,0.00%,0,1.55%,0.00%
167,reverse lunge arms straight out,MVP,882,20,0.00%,100.00%,100.00%,1,0.00,97.85%,220,95.05%,0.00%,0,1.93%,-0.07%
168,reverse lunge hands on hips,MVP,884,17,5.51%,64.71%,82.35%,1,-0.59,97.04%,185,79.73%,-0.53%,0,2.10%,-2.32%
169,reverse lunge offset,MVP,877,5,0.00%,100.00%,100.00%,1,0.00,93.80%,51,96.50%,0.00%,0,1.46%,-0.08%
170,reverse lunge runner arms,MVP,887,17,1.07%,88.24%,100.00%,1,-0.12,96.97%,182,92.73%,-0.53%,0,1.66%,-1.69%
171,reverse lunge single dumbbell by side,MVP,878,7,4.29%,85.71%,85.71%,1,-0.43,97.79%,70,93.14%,0.00%,0,0.58%,0.00%
172,reverse lunge single dumbbell overhead,MVP,879,6,6.52%,66.67%,83.33%,1,-0.67,91.39%,60,94.95%,0.00%,0,3.10%,-0.19%
173,reverse lunge single leg,MVP,880,4,14.86%,25.00%,75.00%,0,-2.50,98.49%,68,96.61%,0.00%,0,0.32%,0.00%
174,reverse lunge weights racked,MVP,892,8,2.50%,87.50%,87.50%,1,-0.25,97.47%,86,95.58%,0.00%,0,1.92%,-0.03%
175,reverse lunge with curl,List A,885,19,3.16%,89.47%,89.47%,1,-0.32,99.19%,185,97.02%,0.00%,0,0.90%,-0.02%
176,reverse lunge with twist dumbbell,List A,889,7,8.73%,42.86%,71.43%,1,0.29,98.00%,69,28.81%,1.43%,0,0.66%,-1.50%
177,roll up fingertips to ceiling,List A,1093,17,6.21%,64.71%,82.35%,1,0.59,95.54%,157,88.86%,1.24%,0,2.75%,0.02%
178,roll up fingertips to toes,List A,1094,19,6.26%,63.16%,89.47%,1,0.21,94.80%,169,91.09%,1.90%,0,3.26%,0.11%
179,shoulder tap on knees,List A,1096,17,14.84%,29.41%,64.71%,0,-2.18,99.00%,211,32.05%,-3.71%,0,5.86%,-7.74%
180,shoulder tap on toes,List A,1098,14,21.90%,14.29%,28.57%,0,-2.93,96.08%,194,39.23%,-9.19%,0,10.04%,-9.04%
181,side bend kneeling alternating,List A,1106,13,0.64%,92.31%,100.00%,1,-0.08,99.43%,142,81.27%,0.00%,0,0.41%,-0.33%
182,side bend kneeling single side,List A,1105,13,12.25%,23.08%,69.23%,0,-0.38,96.84%,243,82.36%,0.81%,0,0.20%,-0.17%
183,single leg deadlift alternating arms by side,MVP,904,18,7.19%,77.78%,94.44%,1,0.61,95.72%,190,93.66%,-0.28%,0,1.27%,-0.51%
