,variation,release_group,exercise_id,n_sets,MARE,OBZ,OB1,EC,rep_error_bias,is_FA,n_total_reps,signal_score,MARE delta w/ hydra_v6c_v9dataset,n_sets delta w/ hydra_v6c_v9dataset,is_FA delta w/ hydra_v6c_v9dataset,signal_score delta w/ hydra_v6c_v9dataset
20,bird dog opposite arm and leg rep,List A,1025,7,1.59%,85.71%,100.00%,1,0.14285714,98.83%,99,72.51%,1.59%,0.00,-0.02%,3.42%
21,bodyweight squat 1.5 squat,List A,572,12,34.72%,25.00%,50.00%,0,2,93.59%,125,95.24%,-10.24%,0.00,-0.07%,-1.31%
22,bodyweight squat arms by side,MVP,575,6,1.67%,83.33%,100.00%,1,0.16666667,95.00%,82,64.91%,0.38%,0.00,0.00%,-8.64%
23,bodyweight squat arms overhead,MVP,573,7,0.00%,100.00%,100.00%,1,0,99.71%,68,65.97%,-2.38%,0.00,0.10%,-2.78%
24,bodyweight squat arms straight out,MVP,574,4,2.50%,75.00%,100.00%,1,0.25,98.58%,38,42.02%,0.00%,0.00,-0.05%,-4.60%
25,bodyweight squat arms swinging,MVP,576,5,1.82%,80.00%,100.00%,1,0.2,94.44%,57,94.98%,1.82%,0.00,-0.12%,0.09%
26,bodyweight squat hands at shoulders,MVP,329,19,1.92%,84.21%,94.74%,1,0,99.03%,201,96.55%,0.45%,1.00,0.19%,0.02%
27,bodyweight squat hands centered,MVP,577,19,0.53%,94.74%,100.00%,1,0.05263158,95.13%,194,94.01%,0.53%,0.00,0.29%,-1.98%
28,bodyweight squat hands on head,MVP,578,13,2.31%,84.62%,92.31%,1,-0.2307692,98.15%,128,94.21%,0.00%,0.00,-0.19%,1.14%
29,bodyweight sumo squat 1.5 squat,List A,1628,3,20.96%,0.00%,33.33%,0,2.33333333,99.17%,34,96.81%,-6.06%,0.00,0.14%,-0.05%
30,bodyweight sumo squat arms overhead,MVP,1629,5,21.09%,60.00%,60.00%,0,-2.2,88.16%,51,95.35%,8.00%,0.00,-1.98%,2.22%
31,bodyweight sumo squat arms straight out,MVP,1630,5,1.82%,80.00%,100.00%,1,0.2,98.55%,55,85.73%,1.82%,0.00,0.00%,-4.13%
32,bodyweight sumo squat arms swinging,MVP,1631,5,3.64%,60.00%,100.00%,1,0,95.54%,56,91.93%,1.82%,0.00,0.26%,-3.17%
33,bodyweight sumo squat hands centered,MVP,1632,5,2.00%,80.00%,100.00%,1,0.2,98.32%,50,78.90%,0.00%,0.00,0.00%,-0.79%
34,bodyweight sumo squat hands on head,MVP,1633,5,19.64%,20.00%,40.00%,0,-0.8,94.70%,52,69.32%,0.00%,0.00,-0.56%,13.24%
35,bridging clamshells,List A,543,6,0.00%,100.00%,100.00%,1,0,100.00%,41,65.29%,0.00%,0.00,0.00%,8.62%
36,broad jump with back pedal,List A,1035,17,10.85%,35.29%,76.47%,0,0.88235294,99.94%,212,68.92%,-2.28%,-1.00,0.01%,24.44%
37,broad jump with jump back,List A,1037,7,23.04%,28.57%,42.86%,0,0,96.59%,51,51.99%,-11.05%,0.00,0.25%,-22.42%
38,burpee chest to the ground,MVP,664,18,3.70%,88.89%,94.44%,1,0.05555556,94.02%,98,86.00%,-3.33%,0.00,-0.09%,-1.48%
39,burpee from plank,MVP,665,14,8.49%,64.29%,85.71%,1,0.21428571,94.32%,76,46.54%,3.41%,0.00,0.00%,-39.53%
40,burpee with pushup,MVP,666,17,11.37%,70.59%,82.35%,0,-1.2352941,95.32%,109,81.37%,-3.53%,0.00,0.07%,8.95%
41,chest fly standing both arms,MVP,1050,8,4.48%,50.00%,100.00%,1,0.5,99.12%,81,97.63%,0.00%,0.00,0.06%,0.47%
42,chest fly standing staggered both arms,MVP,1051,12,5.54%,50.00%,91.67%,1,0.58333333,99.28%,138,96.97%,0.00%,0.00,0.20%,0.45%
43,clamshells from laying,List A,587,17,7.03%,70.59%,88.24%,1,-0.5882353,98.86%,201,70.46%,-6.21%,1.00,0.03%,18.85%
44,clean both arms hang,List A,1058,19,7.54%,73.68%,94.74%,1,0.73684211,98.32%,187,91.57%,-1.68%,-1.00,-0.05%,0.60%
45,clean single arm alternating,List A,1060,16,11.53%,75.00%,81.25%,0,1.1875,98.42%,160,94.77%,-2.50%,0.00,-0.09%,-1.69%
46,concentrated curl kneeling lunge,List A,1030,18,7.76%,44.44%,66.67%,1,0.66666667,92.80%,183,77.52%,1.23%,0.00,-0.03%,-2.96%
47,cross body curl kneeling alternating with resting arm down,MVP,588,16,3.64%,81.25%,87.50%,1,-0.25,97.11%,169,90.03%,2.44%,0.00,-0.05%,-1.29%
48,cross body curl standing alternating with resting arm down,MVP,592,15,2.67%,86.67%,93.33%,1,-0.2666667,98.01%,148,89.36%,2.04%,-1.00,0.66%,0.65%
49,cross body curl standing single arm with resting arm down,MVP,593,10,10.70%,50.00%,80.00%,0,-1.6,97.63%,196,96.90%,0.45%,0.00,-0.95%,-1.01%
50,crunch arms above you,List A,1082,17,12.60%,52.94%,70.59%,0,-0.6470588,99.81%,185,44.99%,5.35%,-1.00,0.13%,-9.39%
51,crunch arms overhead,List A,1081,16,3.43%,81.25%,93.75%,1,0.125,98.45%,158,52.92%,-4.38%,-2.00,-0.14%,-10.90%
52,crunch table top,List A,1083,16,4.49%,50.00%,100.00%,1,-0.25,99.72%,172,36.40%,-4.32%,-2.00,-0.03%,11.10%
53,deadlift arms by side,MVP,671,15,6.37%,80.00%,86.67%,1,-0.6,91.01%,143,90.71%,-1.33%,0.00,2.33%,1.55%
54,deadlift arms straight out,MVP,672,15,4.67%,93.33%,93.33%,1,-0.4666667,94.26%,144,94.44%,-2.00%,0.00,0.11%,2.22%
55,deadlift hands on hips,MVP,673,15,4.00%,93.33%,93.33%,1,-0.4,92.47%,151,92.51%,-0.07%,0.00,-0.19%,3.65%
56,deadlift romanian,MVP,675,10,0.00%,100.00%,100.00%,1,0,91.40%,98,98.04%,0.00%,0.00,0.43%,-0.39%
57,deadlift single dumbbell,MVP,676,9,7.98%,55.56%,88.89%,1,-1.4444444,90.61%,128,95.75%,-0.56%,0.00,-0.12%,4.37%
58,deadlift suitcase,MVP,677,7,9.09%,85.71%,85.71%,1,-1,92.62%,72,96.47%,-1.43%,0.00,0.15%,1.93%
59,diagonal chop bodyweight,List A,1065,15,12.07%,66.67%,73.33%,0,0.66666667,94.41%,303,82.87%,-3.55%,2.00,0.80%,-3.52%
60,dumbbell pass through on knees,List A,1141,17,11.60%,29.41%,76.47%,0,0.41176471,98.67%,174,69.07%,4.82%,3.00,0.47%,0.95%
61,dumbbell pass through on toes,List A,1142,18,18.07%,16.67%,55.56%,0,0,98.13%,180,67.19%,3.04%,0.00,0.46%,7.19%
62,dumbbell push up on knees,MVP,1530,5,5.71%,80.00%,80.00%,1,0.4,98.92%,44,81.57%,-2.00%,0.00,-0.21%,-11.32%
63,dumbbell push up on toes,MVP,1529,4,2.50%,75.00%,100.00%,1,0.25,98.42%,40,88.09%,2.50%,0.00,-0.29%,-7.35%
64,dumbbell swing alternating single arm passing dumbbell,List A,679,16,8.06%,31.25%,87.50%,1,-0.375,98.47%,178,83.94%,2.02%,3.00,0.06%,-2.51%
65,dumbbell swing both arms single dumbbell,List A,681,18,6.58%,55.56%,88.89%,1,0,95.77%,191,90.29%,2.46%,2.00,-0.95%,-2.77%
66,dumbbell swing suitcase,List A,687,10,3.00%,70.00%,100.00%,1,-0.1,93.75%,107,92.80%,0.00%,0.00,-0.29%,3.43%
67,dumbbell thruster alternating,MVP,689,14,12.44%,57.14%,71.43%,0,-1.2142857,96.66%,168,97.54%,-0.55%,0.00,0.27%,-1.06%
68,dumbbell thruster classic,MVP,688,12,0.83%,91.67%,100.00%,1,0.08333333,96.54%,121,98.09%,0.83%,0.00,0.06%,-0.99%
69,dumbbell thruster to rotational press both arms,MVP,691,10,2.00%,90.00%,90.00%,1,0.2,97.78%,99,96.04%,2.00%,0.00,0.56%,4.24%
70,french doors kneeling alternating with resting arm in,MVP,1319,12,10.54%,33.33%,75.00%,0,-0.25,97.16%,123,65.49%,1.61%,0.00,0.30%,-7.04%
71,french doors kneeling both arms,MVP,1145,10,6.85%,30.00%,100.00%,1,0.7,98.74%,101,78.03%,0.62%,-1.00,0.01%,-0.35%
72,french doors standing alternating with resting arm in,MVP,1320,20,10.09%,15.00%,95.00%,0,0.25,98.57%,198,79.73%,1.17%,0.00,-0.24%,1.83%
73,french doors standing both arms,MVP,1148,19,3.40%,63.16%,100.00%,1,0.36842105,99.12%,204,91.54%,0.11%,-1.00,-0.12%,3.18%
74,french doors standing single arm,MVP,1149,14,3.67%,42.86%,92.86%,1,0.5,98.80%,245,78.58%,0.82%,0.00,-0.14%,-0.52%
75,front lunge arms by side,MVP,700,6,2.59%,66.67%,100.00%,1,-0.3333333,96.83%,64,71.53%,-1.44%,-2.00,0.39%,-2.04%
76,front lunge arms out laterally,MVP,704,7,1.43%,85.71%,100.00%,1,0.14285714,98.15%,73,75.55%,0.00%,0.00,0.05%,0.27%
77,front lunge arms overhead,MVP,702,8,6.25%,75.00%,87.50%,1,-0.625,97.84%,80,77.69%,0.00%,0.00,-0.15%,0.79%
78,front lunge arms straight out,MVP,701,12,2.42%,75.00%,100.00%,1,0.08333333,90.04%,120,93.07%,-0.83%,0.00,0.20%,0.23%
79,front lunge hands on hips,MVP,705,8,1.39%,87.50%,100.00%,1,0.125,95.78%,79,77.80%,0.14%,0.00,0.43%,-2.93%
80,front lunge runner arms,MVP,707,14,2.94%,71.43%,92.86%,1,0.07142857,97.77%,151,92.64%,0.12%,0.00,-0.05%,-1.60%
81,front lunge weights hanging,MVP,708,14,0.71%,92.86%,100.00%,1,0.07142857,97.74%,139,94.09%,0.71%,0.00,-0.32%,-3.17%
82,front lunge weights racked,MVP,710,12,1.67%,91.67%,91.67%,1,-0.1666667,98.87%,119,95.62%,-0.83%,0.00,0.16%,-0.62%
83,front lunge with curl,List A,706,10,10.00%,90.00%,90.00%,0,-1,95.20%,105,86.27%,10.00%,1.00,0.66%,-11.30%
84,front raise kneeling alternating with resting arm down,MVP,716,5,0.00%,100.00%,100.00%,1,0,99.09%,50,93.72%,0.00%,0.00,0.84%,-1.82%
85,front raise kneeling both arms,MVP,718,10,1.00%,90.00%,100.00%,1,-0.1,98.73%,104,98.50%,0.00%,0.00,-0.11%,-0.41%
86,front raise kneeling single arm with resting arm down,MVP,719,12,6.49%,41.67%,75.00%,1,0.58333333,96.63%,220,90.98%,1.27%,0.00,0.04%,3.08%
87,front raise standing alternating with resting arm down,MVP,731,16,0.97%,87.50%,100.00%,1,-0.125,97.40%,167,94.73%,-1.32%,0.00,0.25%,-0.16%
88,front raise standing alternating with resting arm up,List A,728,12,9.17%,25.00%,91.67%,1,0.41666667,99.64%,121,89.73%,0.00%,0.00,-0.19%,-2.36%
89,front raise standing both arms,MVP,729,15,1.33%,86.67%,100.00%,1,-0.1333333,98.60%,142,98.85%,-0.10%,1.00,0.51%,-0.12%
90,front raise standing single arm with resting arm down,MVP,730,11,8.64%,45.45%,90.91%,1,-1.1818182,98.51%,209,94.33%,0.45%,0.00,-0.34%,0.03%
91,front raise standing single arm with resting arm up,List A,727,12,17.98%,41.67%,66.67%,0,1.91666667,94.79%,173,94.28%,-0.74%,0.00,0.11%,-1.85%
92,front to back lunge arms by side,List A,1164,6,11.90%,83.33%,83.33%,0,0.83333333,94.50%,66,77.97%,0.00%,0.00,-0.03%,-14.66%
93,front to back lunge weights hanging,List A,1169,16,6.68%,43.75%,68.75%,1,-0.875,95.73%,261,87.70%,-2.97%,2.00,-1.21%,0.54%
94,front to back lunge with rotation,List A,1163,11,23.31%,54.55%,72.73%,0,0,96.89%,166,95.33%,-2.20%,0.00,0.12%,-0.10%
95,hand release pushup on knees,List A,304,14,3.55%,78.57%,92.86%,1,0.28571429,95.89%,105,93.51%,-0.61%,-2.00,-0.02%,1.26%
96,hand release pushup on knees arms extended,List A,1503,6,14.75%,66.67%,83.33%,0,-1.3333333,98.39%,66,87.57%,-3.33%,0.00,-0.06%,1.10%
97,hand release pushup on toes,List A,594,10,2.00%,90.00%,100.00%,1,0.1,96.99%,51,95.18%,0.46%,-3.00,1.04%,-0.25%
98,hand release pushup on toes arms extended,List A,1502,5,16.67%,60.00%,60.00%,0,-1.8,98.76%,54,94.33%,-3.67%,0.00,0.02%,0.30%
99,hip bridge repping hands bent at 90,List A,599,19,5.26%,94.74%,94.74%,1,-0.5789474,100.00%,199,80.67%,-2.74%,4.00,0.00%,19.12%
100,lateral lunge alternating single dumbbell,MVP,749,15,7.27%,60.00%,93.33%,1,0.4,96.02%,150,96.12%,2.27%,1.00,0.03%,2.22%
101,lateral lunge arms by side,MVP,740,20,2.00%,90.00%,95.00%,1,-0.1,87.59%,196,96.24%,-0.13%,0.00,0.01%,-0.04%
102,lateral lunge arms by side dumbbell,MVP,750,11,4.75%,63.64%,90.91%,1,-0.2727273,91.15%,104,96.71%,-1.05%,2.00,0.18%,-0.57%
103,lateral lunge arms straight out,MVP,737,7,4.29%,57.14%,100.00%,1,0.14285714,89.33%,70,87.46%,0.00%,0.00,0.41%,7.62%
104,lateral lunge hands on head,MVP,738,6,0.00%,100.00%,100.00%,1,0,95.14%,59,85.10%,-1.67%,0.00,-0.28%,18.60%
105,lateral lunge hands on hips,MVP,739,11,9.09%,90.91%,90.91%,1,0.45454545,89.89%,101,95.84%,-6.19%,2.00,-1.91%,0.63%
106,lateral lunge left,MVP,319,8,5.81%,50.00%,100.00%,1,0,89.22%,62,85.65%,1.79%,0.00,-0.15%,7.74%
107,lateral lunge swing to arms overhead,MVP,746,8,3.64%,62.50%,100.00%,1,0.375,93.02%,82,96.94%,0.78%,1.00,1.22%,-0.42%
108,lateral lunge weights racked,MVP,751,18,2.79%,77.78%,94.44%,1,-0.0555556,98.99%,179,82.22%,0.37%,1.00,0.04%,7.18%
109,lateral lunge with runners arms,MVP,744,8,0.00%,100.00%,100.00%,1,0,91.69%,89,94.83%,0.00%,0.00,0.39%,6.88%
110,lateral raise kneeling alternating with resting arm down,MVP,770,3,5.92%,33.33%,100.00%,1,0.66666667,95.64%,37,97.97%,0.00%,0.00,0.34%,0.40%
111,lateral raise kneeling both arms,MVP,772,6,0.00%,100.00%,100.00%,1,0,98.15%,54,97.29%,0.00%,0.00,-0.71%,-0.66%
112,lateral raise kneeling eccentric,MVP,769,7,4.76%,85.71%,85.71%,1,-0.2857143,98.78%,66,98.04%,0.00%,0.00,0.32%,0.21%
113,lateral raise kneeling lunge left alternating with resting arm down,MVP,757,12,1.04%,91.67%,100.00%,1,0.08333333,99.48%,121,95.62%,0.00%,0.00,0.29%,0.21%
114,lateral raise kneeling lunge left single arm with resting arm down,MVP,756,13,0.38%,92.31%,100.00%,1,0.07692308,99.62%,205,91.91%,0.00%,0.00,-0.10%,-3.28%
115,lateral raise kneeling lunge right both arms,MVP,765,14,0.00%,100.00%,100.00%,1,0,99.92%,138,96.96%,0.00%,0.00,0.42%,-1.21%
116,lateral raise kneeling single arm with resting arm down,MVP,773,6,0.00%,100.00%,100.00%,1,0,98.71%,89,92.72%,0.00%,0.00,-0.30%,1.37%
117,lateral raise standing alternating with resting arm down,MVP,780,8,0.00%,100.00%,100.00%,1,0,96.70%,78,96.24%,0.00%,0.00,0.36%,1.76%
118,lateral raise standing both arms,MVP,778,16,0.00%,100.00%,100.00%,1,0,98.54%,161,97.60%,0.00%,0.00,-0.02%,-0.43%
119,lateral raise standing eccentric,MVP,775,7,1.43%,85.71%,100.00%,1,0.14285714,99.00%,75,98.09%,0.00%,0.00,-0.06%,0.11%
120,lateral raise standing single arm with resting arm down,MVP,779,6,2.50%,66.67%,100.00%,1,0.33333333,98.49%,96,97.10%,-0.83%,0.00,-0.34%,-0.34%
121,neutral grip chest press hook lying both arms,MVP,1212,19,6.38%,73.68%,84.21%,1,-0.2631579,99.83%,202,81.92%,0.79%,2.00,-0.08%,-3.80%
122,neutral grip chest press table top alternating with resting arm up,List A,1228,11,11.40%,36.36%,72.73%,0,-0.6363636,100.00%,114,78.82%,-0.74%,0.00,0.00%,4.27%
123,neutral grip chest press table top both arms,MVP,1229,8,0.00%,100.00%,100.00%,1,0,100.00%,80,87.86%,-1.19%,1.00,0.07%,1.16%
124,overhead extension kneeling both arms,MVP,805,16,5.88%,50.00%,87.50%,1,0.25,99.69%,170,91.10%,1.77%,0.00,-0.10%,-4.10%
125,overhead extension kneeling lunge right one dumbbell,MVP,787,18,10.10%,33.33%,83.33%,0,0.61111111,99.98%,186,85.83%,1.46%,0.00,0.00%,-1.39%
126,overhead extension kneeling one dumbbell,MVP,786,9,5.61%,44.44%,88.89%,1,0.44444444,100.00%,113,94.65%,0.62%,0.00,0.00%,0.47%
127,overhead extension kneeling right lunge both arms,MVP,799,19,6.71%,57.89%,89.47%,1,-0.0526316,99.33%,186,81.05%,-1.55%,0.00,-0.08%,-4.56%
128,overhead extension kneeling single arm with resting arm down,MVP,802,18,4.69%,38.89%,100.00%,1,0.16666667,99.81%,262,90.35%,0.05%,0.00,-0.08%,-5.32%
129,overhead extension standing alternating with resting arm down,MVP,812,6,12.32%,16.67%,83.33%,0,0.16666667,98.80%,55,89.57%,4.55%,0.00,0.03%,-6.94%
130,overhead extension standing both arms,MVP,810,10,11.56%,30.00%,80.00%,0,0.9,99.05%,101,72.33%,-3.99%,-1.00,-0.22%,-1.28%
131,overhead extension standing one dumbbell,MVP,807,18,17.31%,33.33%,77.78%,0,-0.6666667,99.04%,189,78.92%,1.22%,-2.00,0.01%,-1.99%
132,overhead extension standing single arm,MVP,811,19,5.63%,47.37%,84.21%,1,0.31578947,96.89%,307,90.33%,-0.79%,0.00,-0.10%,-0.87%
133,overhead press kneeling alternating resting arm down,MVP,831,18,1.11%,88.89%,100.00%,1,0,98.19%,184,97.99%,-1.06%,0.00,-0.18%,-0.48%
134,overhead press kneeling both arms,MVP,835,18,1.43%,83.33%,100.00%,1,-0.0555556,96.57%,192,95.57%,-1.06%,0.00,-0.15%,1.23%
135,overhead press kneeling single arm,List A,836,18,11.89%,44.44%,72.22%,0,-0.8333333,97.39%,349,91.26%,1.52%,-2.00,0.20%,-1.20%
136,overhead press kneeling single arm with resting arm down,MVP,832,20,5.61%,55.00%,90.00%,1,0.45,97.79%,198,96.52%,0.00%,0.00,0.00%,0.53%
137,overhead press standing alternating with resting arm down,MVP,841,20,3.34%,80.00%,95.00%,1,-0.1,95.99%,197,83.42%,1.00%,0.00,-0.40%,-2.02%
138,overhead press standing alternating with resting arm up,List A,837,19,13.60%,26.32%,84.21%,0,-0.2105263,97.24%,198,83.68%,2.11%,0.00,-0.16%,7.05%
139,overhead press standing both arms,MVP,839,19,2.22%,84.21%,94.74%,1,0,96.23%,179,91.90%,1.11%,0.00,0.51%,0.71%
140,overhead press standing single arm,MVP,840,20,1.49%,70.00%,100.00%,1,0.3,97.64%,401,96.12%,-1.26%,0.00,-0.13%,-1.44%
141,overhead press standing single arm with resting arm down,MVP,842,19,3.16%,68.42%,100.00%,1,0.31578947,94.65%,190,98.18%,-1.58%,0.00,-0.24%,0.14%
142,overhead press wide kneeling alternating resting arm down,MVP,1498,5,0.00%,100.00%,100.00%,1,0,100.00%,60,90.47%,0.00%,0.00,0.10%,-2.88%
143,overhead press wide kneeling both arms,MVP,1500,5,2.00%,80.00%,100.00%,1,-0.2,98.45%,50,91.14%,0.00%,0.00,0.25%,8.43%
144,overhead press wide kneeling single arm,MVP,1501,5,3.33%,80.00%,100.00%,1,-0.2,100.00%,30,86.97%,0.00%,0.00,0.00%,14.74%
145,overhead press wide standing alternating with resting arm down,MVP,1493,8,0.00%,100.00%,100.00%,1,0,99.23%,96,95.90%,-1.04%,0.00,-0.17%,0.15%
146,overhead press wide standing both arms,MVP,1495,3,3.33%,66.67%,100.00%,1,-0.3333333,99.01%,30,90.85%,0.00%,0.00,0.00%,-4.12%
147,overhead press wide standing single arm with resting arm down,MVP,1497,5,0.00%,100.00%,100.00%,1,0,98.79%,32,78.16%,-3.33%,0.00,0.41%,0.06%
148,pike pushup on knees,List A,335,15,2.67%,93.33%,93.33%,1,-0.2666667,99.78%,133,67.64%,1.24%,1.00,0.02%,-4.14%
149,pike pushup on toes,List A,851,13,1.54%,92.31%,100.00%,1,-0.0769231,100.00%,117,73.24%,1.54%,2.00,0.00%,-11.60%
150,punches alternating heels planted,List A,1084,11,18.98%,36.36%,54.55%,0,-1.4545455,96.88%,146,73.61%,8.41%,0.00,-0.19%,-6.64%
151,push press single arm,List A,1242,12,3.41%,50.00%,83.33%,1,0.66666667,96.86%,208,96.04%,1.68%,3.00,-0.63%,-0.34%
152,push press standing both arms,List A,1241,20,3.05%,80.00%,90.00%,1,-0.15,96.89%,185,95.90%,-1.39%,4.00,-1.27%,-1.10%
153,pushup jack at bottom,List A,963,14,2.68%,92.86%,92.86%,1,-0.2142857,94.55%,77,87.08%,-3.60%,-1.00,0.31%,-0.54%
154,pushup on knees,MVP,328,15,7.40%,73.33%,86.67%,1,-0.9333333,99.09%,180,77.44%,-1.28%,0.00,0.08%,1.14%
155,pushup on toes,MVP,856,13,8.35%,69.23%,84.62%,1,-0.6153846,88.89%,121,84.67%,-0.36%,0.00,-1.14%,-8.59%
156,reverse fly on knees both arms,MVP,1253,18,6.22%,77.78%,88.89%,1,0.55555556,98.64%,188,89.11%,0.33%,1.00,0.19%,1.93%
157,reverse fly split stance both arms,MVP,1256,14,4.75%,42.86%,64.29%,1,0.92857143,95.22%,248,88.89%,-2.13%,5.00,0.12%,1.59%
158,reverse fly standing bent over alternating,MVP,1251,11,17.37%,27.27%,45.45%,0,-1.6363636,98.44%,128,65.79%,-0.13%,1.00,0.51%,1.34%
159,reverse fly standing bent over both arms,MVP,1250,18,1.67%,88.89%,94.44%,1,-0.0555556,99.56%,194,91.17%,1.06%,3.00,0.15%,-1.12%
160,reverse lunge alternating,MVP,871,10,0.00%,100.00%,100.00%,1,0,97.53%,119,96.14%,0.00%,0.00,-0.14%,9.88%
161,reverse lunge alternating single dumbbell pass through,List A,872,7,1.10%,85.71%,100.00%,1,0.14285714,96.45%,77,94.39%,0.00%,0.00,-0.23%,1.29%
162,reverse lunge arms by side,MVP,881,18,6.66%,66.67%,88.89%,1,-0.6111111,96.94%,197,91.18%,1.29%,2.00,0.24%,-1.06%
163,reverse lunge arms by side dumbbell,MVP,890,13,4.65%,84.62%,84.62%,1,0.46153846,98.86%,144,85.68%,1.55%,0.00,-0.04%,-1.29%
164,reverse lunge arms overhead,MVP,883,19,1.05%,89.47%,100.00%,1,-0.1052632,98.15%,209,95.04%,0.50%,1.00,0.05%,-1.09%
165,reverse lunge arms overhead dumbbell,MVP,891,5,0.00%,100.00%,100.00%,1,0,98.51%,52,95.38%,-6.00%,0.00,0.58%,1.46%
166,reverse lunge arms straight out,MVP,882,20,2.61%,90.00%,95.00%,1,-0.25,97.44%,220,94.00%,0.34%,0.00,-0.06%,2.67%
167,reverse lunge hands on hips,MVP,884,17,6.05%,52.94%,82.35%,1,-0.6470588,97.76%,185,75.43%,2.06%,1.00,0.40%,-10.65%
168,reverse lunge offset,MVP,877,5,2.00%,80.00%,100.00%,1,0.2,94.13%,51,96.27%,2.00%,1.00,-0.40%,-0.78%
169,reverse lunge runner arms,MVP,887,17,1.60%,94.12%,94.12%,1,-0.1764706,96.69%,182,94.01%,0.33%,0.00,-0.14%,-1.55%
170,reverse lunge single dumbbell by side,MVP,878,7,4.29%,85.71%,85.71%,1,-0.4285714,98.06%,70,95.79%,-1.30%,0.00,0.14%,2.70%
171,reverse lunge single dumbbell overhead,MVP,879,6,6.52%,66.67%,83.33%,1,-0.6666667,92.87%,60,96.57%,3.33%,0.00,-0.06%,2.31%
172,reverse lunge single leg,MVP,880,4,14.86%,25.00%,75.00%,0,-2.5,97.91%,68,96.61%,9.86%,1.00,0.83%,-1.05%
173,reverse lunge weights racked,MVP,892,8,2.50%,87.50%,87.50%,1,-0.25,97.91%,86,95.71%,1.25%,0.00,-0.45%,3.77%
174,reverse lunge with curl,List A,885,18,2.22%,94.44%,94.44%,1,-0.2222222,98.43%,175,95.96%,-0.90%,2.00,-0.56%,0.98%
175,reverse lunge with twist dumbbell,List A,889,7,5.87%,71.43%,85.71%,1,-0.2857143,96.82%,69,96.98%,-4.29%,0.00,0.17%,55.52%
